station,date,DP10,DP01,DP1X,DT32,DT00,DX70,DX90,PRCP,RHAV,TAVG,TMAX,TMIN,EMXT,EMNT,HTDD,EMXP,MNPN,MXPN,HXyz,HNyz
GHCND:AE000041196,2012-01-01,,,,,,346,,,,,,,,,,,,,,
GHCND:AE000041196,2012-01-01,,,,,,,226,,,,,,,,,,,,,
GHCND:AE000041196,2012-01-01,,,,,,,,,,,,,121.0,,,,,,,
GHCND:AE000041196,2012-01-01,,,,,,,,,,,96.0,,,,,,,,,
GHCND:AE000041196,2023-01-01,,10,,,,,,,,,,,,,,,,,,
GHCND:AE000041196,2023-01-01,8,,,,,,,,,,,,,,,,,,,
GHCND:AE000041196,2023-01-01,,,1,,,,,,,,,,,,,,,,,
GHCND:AE000041196,2023-01-01,,,,,,,,,,,,,,,,1.06,,,,
GHCND:AE000041196,2023-01-01,,,,,,,,3.42,,,,,,,,,,,,
GHCND:AEM00041194,2004-01-01,,5,,,,,,,,,,,,,,,,,,
GHCND:AEM00041194,2004-01-01,4,,,,,,,,,,,,,,,,,,,
GHCND:AEM00041194,2004-01-01,,,0,,,,,,,,,,,,,,,,,
GHCND:AEM00041194,2004-01-01,,,,,,,,,,,,,,,,0.9,,,,
GHCND:AEM00041194,2004-01-01,,,,,,,,2.31,,,,,,,,,,,,
GHCND:AEM00041194,2006-01-01,,18,,,,,,,,,,,,,,,,,,
GHCND:AEM00041194,2006-01-01,7,,,,,,,,,,,,,,,,,,,
GHCND:AEM00041194,2006-01-01,,,1,,,,,,,,,,,,,,,,,
GHCND:AEM00041194,2006-01-01,,,,,,,,,,,,,,,,1.77,,,,
GHCND:AEM00041194,2006-01-01,,,,,,,,4.08,,,,,,,,,,,,
GHCND:AEM00041194,2010-01-01,,11,,,,,,,,,,,,,,,,,,
GHCND:AEM00041194,2010-01-01,5,,,,,,,,,,,,,,,,,,,
GHCND:AEM00041194,2010-01-01,,,1,,,,,,,,,,,,,,,,,
GHCND:AEM00041194,2010-01-01,,,,,,,,,,,,,,,,3.15,,,,
GHCND:AEM00041194,2010-01-01,,,,,,,,4.83,,,,,,,,,,,,
GHCND:AEM00041194,2011-01-01,,10,,,,,,,,,,,,,,,,,,
GHCND:AEM00041194,2011-01-01,2,,,,,,,,,,,,,,,,,,,
GHCND:AEM00041194,2011-01-01,,,0,,,,,,,,,,,,,,,,,
GHCND:AEM00041194,2011-01-01,,,,,,,,,,,,,,,,0.63,,,,
GHCND:AEM00041194,2011-01-01,,,,,,,,1.01,,,,,,,,,,,,
GHCND:AEM00041194,2012-01-01,,12,,,,,,,,,,,,,,,,,,
GHCND:AEM00041194,2012-01-01,2,,,,,,,,,,,,,,,,,,,
GHCND:AEM00041194,2012-01-01,,,1,,,,,,,,,,,,,,,,,
GHCND:AEM00041194,2012-01-01,,,,,,,,,,,,,,,,1.66,,,,
GHCND:AEM00041194,2012-01-01,,,,,,,,2.06,,,,,,,,,,,,
GHCND:AEM00041194,2014-01-01,,17,,,,,,,,,,,,,,,,,,
GHCND:AEM00041194,2014-01-01,5,,,,,,,,,,,,,,,,,,,
GHCND:AEM00041194,2014-01-01,,,0,,,,,,,,,,,,,,,,,
GHCND:AEM00041194,2014-01-01,,,,,,,,,,,,,,,,0.62,,,,
GHCND:AEM00041194,2014-01-01,,,,,,,,2.33,,,,,,,,,,,,
GHCND:AEM00041194,2019-01-01,,21,,,,,,,,,,,,,,,,,,
GHCND:AEM00041194,2019-01-01,8,,,,,,,,,,,,,,,,,,,
