station,date,DP10,DP01,DP1X,DT32,DT00,DX70,DX90,PRCP,RHAV,TAVG,TMAX,TMIN,EMXT,EMNT,HTDD,EMXP,MNPN,MXPN,HXyz,HNyz
GHCND:TI000038954,1995-01-01,,,,,16,,,,,,,,,,,,,,,
GHCND:TI000038954,1995-01-01,,,,150,,,,,,,,,,,,,,,,
GHCND:TI000038954,1995-01-01,,,,,,151,,,,,,,,,,,,,,
GHCND:TI000038954,1995-01-01,,,,,,,28,,,,,,,,,,,,,
GHCND:TI000038954,1995-01-01,,,,,,,,,,,,,,-10.0,,,,,,
GHCND:TI000038954,1995-01-01,,,,,,,,,,,,,97.0,,,,,,,
GHCND:TI000038954,1995-01-01,,,,,,,,,,,,,,,6823.0,,,,,
GHCND:TI000038954,1995-01-01,,,,,,,,,,47.8,,,,,,,,,,
GHCND:TI000038954,1995-01-01,,,,,,,,,,,59.6,,,,,,,,,
GHCND:TI000038954,1995-01-01,,,,,,,,,,,,35.9,,,,,,,,
GHCND:TI000038954,1996-01-01,,,,,3,,,,,,,,,,,,,,,
GHCND:TI000038954,1996-01-01,,,,135,,,,,,,,,,,,,,,,
GHCND:TI000038954,1996-01-01,,,,,,137,,,,,,,,,,,,,,
GHCND:TI000038954,1996-01-01,,,,,,,21,,,,,,,,,,,,,
GHCND:TI000038954,1996-01-01,,,,,,,,,,,,,,-7.0,,,,,,
GHCND:TI000038954,1996-01-01,,,,,,,,,,,,,95.0,,,,,,,
GHCND:TI000038954,1996-01-01,,,,,,,,,,,,,,,6488.0,,,,,
GHCND:TI000038954,1996-01-01,,,,,,,,,,49.3,,,,,,,,,,
GHCND:TI000038954,1996-01-01,,,,,,,,,,,60.0,,,,,,,,,
GHCND:TI000038954,1996-01-01,,,,,,,,,,,,38.5,,,,,,,,
GHCND:TI000038954,1997-01-01,,,,,0,,,,,,,,,,,,,,,
GHCND:TI000038954,1997-01-01,,,,108,,,,,,,,,,,,,,,,
GHCND:TI000038954,1997-01-01,,,,,,169,,,,,,,,,,,,,,
GHCND:TI000038954,1997-01-01,,,,,,,43,,,,,,,,,,,,,
GHCND:TI000038954,1997-01-01,,,,,,,,,,,,,,10.0,,,,,,
GHCND:TI000038954,1997-01-01,,,,,,,,,,,,,101.0,,,,,,,
GHCND:TI000038954,1997-01-01,,,,,,,,,,,,,,,5247.0,,,,,
GHCND:TI000038954,1997-01-01,,,,,,,,,,53.7,,,,,,,,,,
GHCND:TI000038954,1997-01-01,,,,,,,,,,,64.7,,,,,,,,,
GHCND:TI000038954,1997-01-01,,,,,,,,,,,,42.7,,,,,,,,
GHCND:TI000038954,1998-01-01,,,,,1,,,,,,,,,,,,,,,
GHCND:TI000038954,1998-01-01,,,,120,,,,,,,,,,,,,,,,
GHCND:TI000038954,1998-01-01,,,,,,151,,,,,,,,,,,,,,
GHCND:TI000038954,1998-01-01,,,,,,,23,,,,,,,,,,,,,
GHCND:TI000038954,1998-01-01,,,,,,,,,,,,,,-2.0,,,,,,
GHCND:TI000038954,1998-01-01,,,,,,,,,,,,,100.0,,,,,,,
GHCND:TI000038954,1998-01-01,,,,,,,,,,,,,,,5838.0,,,,,
GHCND:TI000038954,1998-01-01,,,,,,,,,,51.1,,,,,,,,,,
GHCND:TI000038954,1998-01-01,,,,,,,,,,,61.6,,,,,,,,,
GHCND:TI000038954,1998-01-01,,,,,,,,,,,,40.7,,,,,,,,
GHCND:TI000038954,1999-01-01,,,,,0,,,,,,,,,,,,,,,
GHCND:TI000038954,1999-01-01,,,,107,,,,,,,,,,,,,,,,
GHCND:TI000038954,1999-01-01,,,,,,140,,,,,,,,,,,,,,
GHCND:TI000038954,1999-01-01,,,,,,,9,,,,,,,,,,,,,
GHCND:TI000038954,1999-01-01,,,,,,,,,,,,,,12.0,,,,,,
GHCND:TI000038954,1999-01-01,,,,,,,,,,,,,95.0,,,,,,,
GHCND:TI000038954,1999-01-01,,,,,,,,,,,,,,,5427.0,,,,,
GHCND:TI000038954,1999-01-01,,,,,,,,,,50.6,,,,,,,,,,
GHCND:TI000038954,1999-01-01,,,,,,,,,,,60.2,,,,,,,,,
GHCND:TI000038954,1999-01-01,,,,,,,,,,,,41.0,,,,,,,,
GHCND:TI000038954,2000-01-01,,,,,4,,,,,,,,,,,,,,,
GHCND:TI000038954,2000-01-01,,,,131,,,,,,,,,,,,,,,,
GHCND:TI000038954,2000-01-01,,,,,,156,,,,,,,,,,,,,,
GHCND:TI000038954,2000-01-01,,,,,,,22,,,,,,,,,,,,,
GHCND:TI000038954,2000-01-01,,,,,,,,,,,,,,-4.0,,,,,,
GHCND:TI000038954,2000-01-01,,,,,,,,,,,,,96.0,,,,,,,
GHCND:TI000038954,2000-01-01,,,,,,,,,,,,,,,6277.0,,,,,
GHCND:TI000038954,2000-01-01,,,,,,,,,,49.5,,,,,,,,,,
GHCND:TI000038954,2000-01-01,,,,,,,,,,,60.2,,,,,,,,,
GHCND:TI000038954,2000-01-01,,,,,,,,,,,,38.8,,,,,,,,
GHCND:TI000038954,2001-01-01,,,,,0,,,,,,,,,,,,,,,
GHCND:TI000038954,2001-01-01,,,,118,,,,,,,,,,,,,,,,
GHCND:TI000038954,2001-01-01,,,,,,165,,,,,,,,,,,,,,
GHCND:TI000038954,2001-01-01,,,,,,,30,,,,,,,,,,,,,
GHCND:TI000038954,2001-01-01,,,,,,,,,,,,,,0.0,,,,,,
GHCND:TI000038954,2001-01-01,,,,,,,,,,,,,97.0,,,,,,,
GHCND:TI000038954,2001-01-01,,,,,,,,,,,,,,,6097.0,,,,,
GHCND:TI000038954,2001-01-01,,,,,,,,,,50.7,,,,,,,,,,
GHCND:TI000038954,2001-01-01,,,,,,,,,,,61.9,,,,,,,,,
GHCND:TI000038954,2001-01-01,,,,,,,,,,,,39.6,,,,,,,,
GHCND:TI000038954,2002-01-01,,,,,8,,,,,,,,,,,,,,,
GHCND:TI000038954,2002-01-01,,,,109,,,,,,,,,,,,,,,,
GHCND:TI000038954,2002-01-01,,,,,,146,,,,,,,,,,,,,,
GHCND:TI000038954,2002-01-01,,,,,,,17,,,,,,,,,,,,,
GHCND:TI000038954,2002-01-01,,,,,,,,,,,,,,-7.0,,,,,,
GHCND:TI000038954,2002-01-01,,,,,,,,,,,,,99.0,,,,,,,
GHCND:TI000038954,2002-01-01,,,,,,,,,,,,,,,6411.0,,,,,
