station,date,DP10,DP01,DP1X,DT32,DT00,DX70,DX90,PRCP,RHAV,TAVG,TMAX,TMIN,EMXT,EMNT,HTDD,EMXP,MNPN,MXPN,HXyz,HNyz
GHCND:AG000060390,1995-01-01,,74,,,,,,,,,,,,,,,,,,
GHCND:AG000060390,1995-01-01,40,,,,,,,,,,,,,,,,,,,
GHCND:AG000060390,1995-01-01,,,4,,,,,,,,,,,,,,,,,
GHCND:AG000060390,1995-01-01,,,,,0,,,,,,,,,,,,,,,
GHCND:AG000060390,1995-01-01,,,,3,,,,,,,,,,,,,,,,
GHCND:AG000060390,1995-01-01,,,,,,239,,,,,,,,,,,,,,
GHCND:AG000060390,1995-01-01,,,,,,,27,,,,,,,,,,,,,
GHCND:AG000060390,1995-01-01,,,,,,,,,,,,,,31.0,,,,,,
GHCND:AG000060390,1995-01-01,,,,,,,,,,,,,,,,1.6,,,,
GHCND:AG000060390,1995-01-01,,,,,,,,,,,,,105.0,,,,,,,
GHCND:AG000060390,1995-01-01,,,,,,,,,,,,,,,1792.0,,,,,
GHCND:AG000060390,1995-01-01,,,,,,,,21.72,,,,,,,,,,,,
GHCND:AG000060390,1995-01-01,,,,,,,,,,64.5,,,,,,,,,,
GHCND:AG000060390,1995-01-01,,,,,,,,,,,75.5,,,,,,,,,
GHCND:AG000060390,1995-01-01,,,,,,,,,,,,53.5,,,,,,,,
GHCND:AG000060390,1996-01-01,,99,,,,,,,,,,,,,,,,,,
GHCND:AG000060390,1996-01-01,59,,,,,,,,,,,,,,,,,,,
GHCND:AG000060390,1996-01-01,,,6,,,,,,,,,,,,,,,,,
GHCND:AG000060390,1996-01-01,,,,,0,,,,,,,,,,,,,,,
GHCND:AG000060390,1996-01-01,,,,2,,,,,,,,,,,,,,,,
GHCND:AG000060390,1996-01-01,,,,,,228,,,,,,,,,,,,,,
GHCND:AG000060390,1996-01-01,,,,,,,21,,,,,,,,,,,,,
GHCND:AG000060390,1996-01-01,,,,,,,,,,,,,,29.0,,,,,,
GHCND:AG000060390,1996-01-01,,,,,,,,,,,,,,,,2.56,,,,
GHCND:AG000060390,1996-01-01,,,,,,,,,,,,,113.0,,,,,,,
GHCND:AG000060390,1996-01-01,,,,,,,,,,,,,,,1485.0,,,,,
GHCND:AG000060390,1996-01-01,,,,,,,,31.57,,,,,,,,,,,,
GHCND:AG000060390,1996-01-01,,,,,,,,,,63.6,,,,,,,,,,
GHCND:AG000060390,1996-01-01,,,,,,,,,,,73.5,,,,,,,,,
GHCND:AG000060390,1996-01-01,,,,,,,,,,,,53.6,,,,,,,,
GHCND:AG000060390,1997-01-01,,80,,,,,,,,,,,,,,,,,,
GHCND:AG000060390,1997-01-01,44,,,,,,,,,,,,,,,,,,,
GHCND:AG000060390,1997-01-01,,,5,,,,,,,,,,,,,,,,,
GHCND:AG000060390,1997-01-01,,,,,0,,,,,,,,,,,,,,,
GHCND:AG000060390,1997-01-01,,,,0,,,,,,,,,,,,,,,,
GHCND:AG000060390,1997-01-01,,,,,,231,,,,,,,,,,,,,,
GHCND:AG000060390,1997-01-01,,,,,,,20,,,,,,,,,,,,,
GHCND:AG000060390,1997-01-01,,,,,,,,,,,,,,33.0,,,,,,
GHCND:AG000060390,1997-01-01,,,,,,,,,,,,,,,,2.08,,,,
GHCND:AG000060390,1997-01-01,,,,,,,,,,,,,101.0,,,,,,,
GHCND:AG000060390,1997-01-01,,,,,,,,,,,,,,,1700.0,,,,,
GHCND:AG000060390,1997-01-01,,,,,,,,21.52,,,,,,,,,,,,
GHCND:AG000060390,1997-01-01,,,,,,,,,,65.0,,,,,,,,,,
GHCND:AG000060390,1997-01-01,,,,,,,,,,,75.4,,,,,,,,,
GHCND:AG000060390,1997-01-01,,,,,,,,,,,,54.6,,,,,,,,
GHCND:AG000060390,1998-01-01,,78,,,,,,,,,,,,,,,,,,
GHCND:AG000060390,1998-01-01,47,,,,,,,,,,,,,,,,,,,
GHCND:AG000060390,1998-01-01,,,6,,,,,,,,,,,,,,,,,
GHCND:AG000060390,1998-01-01,,,,,0,,,,,,,,,,,,,,,
GHCND:AG000060390,1998-01-01,,,,4,,,,,,,,,,,,,,,,
GHCND:AG000060390,1998-01-01,,,,,,220,,,,,,,,,,,,,,
GHCND:AG000060390,1998-01-01,,,,,,,30,,,,,,,,,,,,,
GHCND:AG000060390,1998-01-01,,,,,,,,,,,,,,30.0,,,,,,
GHCND:AG000060390,1998-01-01,,,,,,,,,,,,,,,,1.92,,,,
GHCND:AG000060390,1998-01-01,,,,,,,,,,,,,104.0,,,,,,,
GHCND:AG000060390,1998-01-01,,,,,,,,,,,,,,,1632.0,,,,,
GHCND:AG000060390,1998-01-01,,,,,,,,23.99,,,,,,,,,,,,
GHCND:AG000060390,1998-01-01,,,,,,,,,,63.7,,,,,,,,,,
GHCND:AG000060390,1998-01-01,,,,,,,,,,,74.8,,,,,,,,,
GHCND:AG000060390,1998-01-01,,,,,,,,,,,,52.7,,,,,,,,
GHCND:AG000060390,2004-01-01,,84,,,,,,,,,,,,,,,,,,
GHCND:AG000060390,2004-01-01,51,,,,,,,,,,,,,,,,,,,
GHCND:AG000060390,2004-01-01,,,8,,,,,,,,,,,,,,,,,
GHCND:AG000060390,2004-01-01,,,,,,,,,,,,,,,,1.85,,,,
GHCND:AG000060390,2004-01-01,,,,,,,,25.31,,,,,,,,,,,,
GHCND:AG000060390,2005-01-01,,77,,,,,,,,,,,,,,,,,,
GHCND:AG000060390,2005-01-01,43,,,,,,,,,,,,,,,,,,,
GHCND:AG000060390,2005-01-01,,,4,,,,,,,,,,,,,,,,,
GHCND:AG000060390,2005-01-01,,,,,,,,,,,,,,,,1.89,,,,
