station,date,DP10,DP01,DP1X,DT32,DT00,DX70,DX90,PRCP,RHAV,TAVG,TMAX,TMIN,EMXT,EMNT,HTDD,EMXP,MNPN,MXPN,HXyz,HNyz
GHCND:AJ000037575,2012-01-01,,,,,,193,,,,,,,,,,,,,,
GHCND:AJ000037575,2012-01-01,,,,,,,26,,,,,,,,,,,,,
GHCND:AJ000037575,2012-01-01,,,,,,,,,,,,,98.0,,,,,,,
GHCND:AJ000037575,2012-01-01,,,,,,,,,,,67.4,,,,,,,,,
GHCND:AJ000037575,2014-01-01,,,,,,156,,,,,,,,,,,,,,
GHCND:AJ000037575,2014-01-01,,,,,,,53,,,,,,,,,,,,,
GHCND:AJ000037575,2014-01-01,,,,,,,,,,,,,106.0,,,,,,,
GHCND:AJ000037575,2014-01-01,,,,,,,,,,,68.6,,,,,,,,,
GHCND:AJ000037575,2016-01-01,,,,,,161,,,,,,,,,,,,,,
GHCND:AJ000037575,2016-01-01,,,,,,,37,,,,,,,,,,,,,
GHCND:AJ000037575,2016-01-01,,,,,,,,,,,,,99.0,,,,,,,
GHCND:AJ000037575,2016-01-01,,,,,,,,,,,66.4,,,,,,,,,
GHCND:AJ000037575,2017-01-01,,,,,,161,,,,,,,,,,,,,,
GHCND:AJ000037575,2017-01-01,,,,,,,57,,,,,,,,,,,,,
GHCND:AJ000037575,2017-01-01,,,,,,,,,,,,,101.0,,,,,,,
GHCND:AJ000037575,2017-01-01,,,,,,,,,,,68.2,,,,,,,,,
GHCND:AJ000037575,2018-01-01,,140,,,,,,,,,,,,,,,,,,
GHCND:AJ000037575,2018-01-01,62,,,,,,,,,,,,,,,,,,,
GHCND:AJ000037575,2018-01-01,,,52,,,,,,,,,,,,,,,,,
GHCND:AJ000037575,2018-01-01,,,,,,,,,,,,,,,,3.93,,,,
GHCND:AJ000037575,2018-01-01,,,,,,,,207.36,,,,,,,,,,,,
GHCND:AJ000037575,2019-01-01,,,,,,185,,,,,,,,,,,,,,
GHCND:AJ000037575,2019-01-01,,,,,,,47,,,,,,,,,,,,,
GHCND:AJ000037575,2019-01-01,,,,,,,,,,,,,99.0,,,,,,,
GHCND:AJ000037575,2019-01-01,,,,,,,,,,,68.9,,,,,,,,,
GHCND:AJ000037575,2020-01-01,,,,,,174,,,,,,,,,,,,,,
GHCND:AJ000037575,2020-01-01,,,,,,,39,,,,,,,,,,,,,
GHCND:AJ000037575,2020-01-01,,,,,,,,,,,,,99.0,,,,,,,
GHCND:AJ000037575,2020-01-01,,,,,,,,,,,67.7,,,,,,,,,
GHCND:AJ000037575,2022-01-01,,113,,,,,,,,,,,,,,,,,,
GHCND:AJ000037575,2022-01-01,48,,,,,,,,,,,,,,,,,,,
GHCND:AJ000037575,2022-01-01,,,35,,,,,,,,,,,,,,,,,
GHCND:AJ000037575,2022-01-01,,,,,,165,,,,,,,,,,,,,,
GHCND:AJ000037575,2022-01-01,,,,,,,48,,,,,,,,,,,,,
GHCND:AJ000037575,2022-01-01,,,,,,,,,,,,,,,,3.93,,,,
GHCND:AJ000037575,2022-01-01,,,,,,,,,,,,,101.0,,,,,,,
GHCND:AJ000037575,2022-01-01,,,,,,,,141.51,,,,,,,,,,,,
GHCND:AJ000037575,2022-01-01,,,,,,,,,,,68.7,,,,,,,,,
GHCND:AJ000037575,2023-01-01,,137,,,,,,,,,,,,,,,,,,
GHCND:AJ000037575,2023-01-01,61,,,,,,,,,,,,,,,,,,,
GHCND:AJ000037575,2023-01-01,,,49,,,,,,,,,,,,,,,,,
GHCND:AJ000037575,2023-01-01,,,,,,189,,,,,,,,,,,,,,
GHCND:AJ000037575,2023-01-01,,,,,,,39,,,,,,,,,,,,,
GHCND:AJ000037575,2023-01-01,,,,,,,,,,,,,,,,3.93,,,,
GHCND:AJ000037575,2023-01-01,,,,,,,,,,,,,96.0,,,,,,,
GHCND:AJ000037575,2023-01-01,,,,,,,,196.19,,,,,,,,,,,,
GHCND:AJ000037575,2023-01-01,,,,,,,,,,,69.3,,,,,,,,,
GHCND:AJ000037661,2015-01-01,,,,,,143,,,,,,,,,,,,,,
GHCND:AJ000037661,2015-01-01,,,,,,,46,,,,,,,,,,,,,
GHCND:AJ000037661,2015-01-01,,,,,,,,,,,,,101.0,,,,,,,
GHCND:AJ000037661,2015-01-01,,,,,,,,,,,65.9,,,,,,,,,
GHCND:AJ000037675,2016-01-01,,,,,,127,,,,,,,,,,,,,,
GHCND:AJ000037675,2016-01-01,,,,,,,15,,,,,,,,,,,,,
GHCND:AJ000037675,2016-01-01,,,,,,,,,,,,,103.0,,,,,,,
GHCND:AJ000037675,2016-01-01,,,,,,,,,,,61.6,,,,,,,,,
GHCND:AJ000037675,2017-01-01,,,,,,130,,,,,,,,,,,,,,
GHCND:AJ000037675,2017-01-01,,,,,,,14,,,,,,,,,,,,,
GHCND:AJ000037675,2017-01-01,,,,,,,,,,,,,98.0,,,,,,,
GHCND:AJ000037675,2017-01-01,,,,,,,,,,,61.7,,,,,,,,,
GHCND:AJ000037675,2018-01-01,,,,,,148,,,,,,,,,,,,,,
GHCND:AJ000037675,2018-01-01,,,,,,,17,,,,,,,,,,,,,
GHCND:AJ000037675,2018-01-01,,,,,,,,,,,,,99.0,,,,,,,
GHCND:AJ000037675,2018-01-01,,,,,,,,,,,62.8,,,,,,,,,
GHCND:AJ000037675,2019-01-01,,,,,,139,,,,,,,,,,,,,,
GHCND:AJ000037675,2019-01-01,,,,,,,10,,,,,,,,,,,,,
GHCND:AJ000037675,2019-01-01,,,,,,,,,,,,,100.0,,,,,,,
GHCND:AJ000037675,2019-01-01,,,,,,,,,,,62.6,,,,,,,,,
GHCND:AJ000037675,2020-01-01,,85,,,,,,,,,,,,,,,,,,
GHCND:AJ000037675,2020-01-01,18,,,,,,,,,,,,,,,,,,,
GHCND:AJ000037675,2020-01-01,,,14,,,,,,,,,,,,,,,,,
GHCND:AJ000037675,2020-01-01,,,,,,145,,,,,,,,,,,,,,
GHCND:AJ000037675,2020-01-01,,,,,,,21,,,,,,,,,,,,,
