station,date,DP10,DP01,DP1X,DT32,DT00,DX70,DX90,PRCP,RHAV,TAVG,TMAX,TMIN,EMXT,EMNT,HTDD,EMXP,MNPN,MXPN,HXyz,HNyz
GHCND:ALE00100939,1997-01-01,,,,,,178,,,,,,,,,,,,,,
GHCND:ALE00100939,1997-01-01,,,,,,,25,,,,,,,,,,,,,
GHCND:ALE00100939,1997-01-01,,,,,,,,,,,,,100.0,,,,,,,
GHCND:ALE00100939,1997-01-01,,,,,,,,,,,70.6,,,,,,,,,
GHCND:ALE00100939,1998-01-01,,,,,,182,,,,,,,,,,,,,,
GHCND:ALE00100939,1998-01-01,,,,,,,45,,,,,,,,,,,,,
GHCND:ALE00100939,1998-01-01,,,,,,,,,,,,,105.0,,,,,,,
GHCND:ALE00100939,1998-01-01,,,,,,,,,,,70.9,,,,,,,,,
GHCND:ALE00100939,1999-01-01,,,,,,187,,,,,,,,,,,,,,
GHCND:ALE00100939,1999-01-01,,,,,,,35,,,,,,,,,,,,,
GHCND:ALE00100939,1999-01-01,,,,,,,,,,,,,107.0,,,,,,,
GHCND:ALE00100939,1999-01-01,,,,,,,,,,,70.7,,,,,,,,,
GHCND:ALE00100939,2000-01-01,,,,,,194,,,,,,,,,,,,,,
GHCND:ALE00100939,2000-01-01,,,,,,,18,,,,,,,,,,,,,
GHCND:ALE00100939,2000-01-01,,,,,,,,,,,,,99.0,,,,,,,
GHCND:ALE00100939,2000-01-01,,,,,,,,,,,70.4,,,,,,,,,
GHCND:ALE00108905,1995-01-01,,134,,,,,,,,,,,,,,,,,,
GHCND:ALE00108905,1995-01-01,97,,,,,,,,,,,,,,,,,,,
GHCND:ALE00108905,1995-01-01,,,29,,,,,,,,,,,,,,,,,
GHCND:ALE00108905,1995-01-01,,,,,,160,,,,,,,,,,,,,,
GHCND:ALE00108905,1995-01-01,,,,,,,31,,,,,,,,,,,,,
GHCND:ALE00108905,1995-01-01,,,,,,,,,,,,,,,,13.67,,,,
GHCND:ALE00108905,1995-01-01,,,,,,,,,,,,,100.0,,,,,,,
GHCND:ALE00108905,1995-01-01,,,,,,,,90.82,,,,,,,,,,,,
GHCND:ALE00108905,1995-01-01,,,,,,,,,,,66.9,,,,,,,,,
GHCND:ALE00108905,1996-01-01,,146,,,,,,,,,,,,,,,,,,
GHCND:ALE00108905,1996-01-01,101,,,,,,,,,,,,,,,,,,,
GHCND:ALE00108905,1996-01-01,,,30,,,,,,,,,,,,,,,,,
GHCND:ALE00108905,1996-01-01,,,,,,173,,,,,,,,,,,,,,
GHCND:ALE00108905,1996-01-01,,,,,,,38,,,,,,,,,,,,,
GHCND:ALE00108905,1996-01-01,,,,,,,,,,,,,,,,3.84,,,,
GHCND:ALE00108905,1996-01-01,,,,,,,,,,,,,97.0,,,,,,,
GHCND:ALE00108905,1996-01-01,,,,,,,,92.59,,,,,,,,,,,,
GHCND:ALE00108905,1996-01-01,,,,,,,,,,,68.7,,,,,,,,,
GHCND:ALE00108905,1997-01-01,,94,,,,,,,,,,,,,,,,,,
GHCND:ALE00108905,1997-01-01,70,,,,,,,,,,,,,,,,,,,
GHCND:ALE00108905,1997-01-01,,,16,,,,,,,,,,,,,,,,,
GHCND:ALE00108905,1997-01-01,,,,,,161,,,,,,,,,,,,,,
GHCND:ALE00108905,1997-01-01,,,,,,,34,,,,,,,,,,,,,
GHCND:ALE00108905,1997-01-01,,,,,,,,,,,,,,,,7.68,,,,
GHCND:ALE00108905,1997-01-01,,,,,,,,,,,,,97.0,,,,,,,
GHCND:ALE00108905,1997-01-01,,,,,,,,57.74,,,,,,,,,,,,
GHCND:ALE00108905,1997-01-01,,,,,,,,,,,68.7,,,,,,,,,
GHCND:ALE00108905,1999-01-01,,119,,,,,,,,,,,,,,,,,,
GHCND:ALE00108905,1999-01-01,91,,,,,,,,,,,,,,,,,,,
GHCND:ALE00108905,1999-01-01,,,24,,,,,,,,,,,,,,,,,
GHCND:ALE00108905,1999-01-01,,,,,,188,,,,,,,,,,,,,,
GHCND:ALE00108905,1999-01-01,,,,,,,68,,,,,,,,,,,,,
GHCND:ALE00108905,1999-01-01,,,,,,,,,,,,,,,,4.32,,,,
GHCND:ALE00108905,1999-01-01,,,,,,,,,,,,,106.0,,,,,,,
GHCND:ALE00108905,1999-01-01,,,,,,,,72.34,,,,,,,,,,,,
GHCND:ALE00108905,1999-01-01,,,,,,,,,,,71.3,,,,,,,,,
GHCND:ALE00108905,2000-01-01,,98,,,,,,,,,,,,,,,,,,
GHCND:ALE00108905,2000-01-01,70,,,,,,,,,,,,,,,,,,,
GHCND:ALE00108905,2000-01-01,,,23,,,,,,,,,,,,,,,,,
GHCND:ALE00108905,2000-01-01,,,,,,185,,,,,,,,,,,,,,
GHCND:ALE00108905,2000-01-01,,,,,,,63,,,,,,,,,,,,,
GHCND:ALE00108905,2000-01-01,,,,,,,,,,,,,,,,6.65,,,,
GHCND:ALE00108905,2000-01-01,,,,,,,,,,,,,107.0,,,,,,,
GHCND:ALE00108905,2000-01-01,,,,,,,,69.22,,,,,,,,,,,,
GHCND:ALE00108905,2000-01-01,,,,,,,,,,,71.5,,,,,,,,,
GHCND:ALM00013615,2016-01-01,,,,,,188,,,,,,,,,,,,,,
GHCND:ALM00013615,2016-01-01,,,,,,,64,,,,,,,,,,,,,
GHCND:ALM00013615,2016-01-01,,,,,,,,,,,,,101.0,,,,,,,
GHCND:ALM00013615,2016-01-01,,,,,,,,,,,73.5,,,,,,,,,
