station,date,DP10,DP01,DP1X,DT32,DT00,DX70,DX90,PRCP,RHAV,TAVG,TMAX,TMIN,EMXT,EMNT,HTDD,EMXP,MNPN,MXPN,HXyz,HNyz
GHCND:AM000037682,2006-01-01,,,,,,81,,,,,,,,,,,,,,
GHCND:AM000037682,2006-01-01,,,,,,,2,,,,,,,,,,,,,
GHCND:AM000037682,2006-01-01,,,,,,,,,,,,,92.0,,,,,,,
GHCND:AM000037682,2006-01-01,,,,,,,,,,,52.1,,,,,,,,,
GHCND:AM000037682,2007-01-01,,,,,,70,,,,,,,,,,,,,,
GHCND:AM000037682,2007-01-01,,,,,,,0,,,,,,,,,,,,,
GHCND:AM000037682,2007-01-01,,,,,,,,,,,,,85.0,,,,,,,
GHCND:AM000037682,2007-01-01,,,,,,,,,,,50.0,,,,,,,,,
GHCND:AM000037682,2008-01-01,,,,,,71,,,,,,,,,,,,,,
GHCND:AM000037682,2008-01-01,,,,,,,0,,,,,,,,,,,,,
GHCND:AM000037682,2008-01-01,,,,,,,,,,,,,86.0,,,,,,,
GHCND:AM000037682,2008-01-01,,,,,,,,,,,51.0,,,,,,,,,
GHCND:AM000037682,2009-01-01,,,,,,45,,,,,,,,,,,,,,
GHCND:AM000037682,2009-01-01,,,,,,,0,,,,,,,,,,,,,
GHCND:AM000037682,2009-01-01,,,,,,,,,,,,,81.0,,,,,,,
GHCND:AM000037682,2009-01-01,,,,,,,,,,,49.7,,,,,,,,,
GHCND:AM000037682,2010-01-01,,,,,,94,,,,,,,,,,,,,,
GHCND:AM000037682,2010-01-01,,,,,,,0,,,,,,,,,,,,,
GHCND:AM000037682,2010-01-01,,,,,,,,,,,,,87.0,,,,,,,
GHCND:AM000037682,2010-01-01,,,,,,,,,,,55.1,,,,,,,,,
GHCND:AM000037682,2012-01-01,,,,,,90,,,,,,,,,,,,,,
GHCND:AM000037682,2012-01-01,,,,,,,0,,,,,,,,,,,,,
GHCND:AM000037682,2012-01-01,,,,,,,,,,,,,87.0,,,,,,,
GHCND:AM000037682,2012-01-01,,,,,,,,,,,51.6,,,,,,,,,
GHCND:AM000037682,2013-01-01,,,,,,71,,,,,,,,,,,,,,
GHCND:AM000037682,2013-01-01,,,,,,,0,,,,,,,,,,,,,
GHCND:AM000037682,2013-01-01,,,,,,,,,,,,,83.0,,,,,,,
GHCND:AM000037682,2013-01-01,,,,,,,,,,,51.3,,,,,,,,,
GHCND:AM000037682,2014-01-01,,,,,,87,,,,,,,,,,,,,,
