station,date,DP10,DP01,DP1X,DT32,DT00,DX70,DX90,PRCP,RHAV,TAVG,TMAX,TMIN,EMXT,EMNT,HTDD,EMXP,MNPN,MXPN,HXyz,HNyz
GHCND:AR000000001,1995-01-01,,52,,,,,,,,,,,,,,,,,,
GHCND:AR000000001,1995-01-01,36,,,,,,,,,,,,,,,,,,,
GHCND:AR000000001,1995-01-01,,,8,,,,,,,,,,,,,,,,,
GHCND:AR000000001,1995-01-01,,,,,,,,,,,,,,,,2.8,,,,
GHCND:AR000000001,1995-01-01,,,,,,,,24.17,,,,,,,,,,,,
GHCND:AR000000001,1996-01-01,,66,,,,,,,,,,,,,,,,,,
GHCND:AR000000001,1996-01-01,50,,,,,,,,,,,,,,,,,,,
GHCND:AR000000001,1996-01-01,,,18,,,,,,,,,,,,,,,,,
GHCND:AR000000001,1996-01-01,,,,,,,,,,,,,,,,2.91,,,,
GHCND:AR000000001,1996-01-01,,,,,,,,42.52,,,,,,,,,,,,
GHCND:AR000000001,1997-01-01,,74,,,,,,,,,,,,,,,,,,
GHCND:AR000000001,1997-01-01,56,,,,,,,,,,,,,,,,,,,
GHCND:AR000000001,1997-01-01,,,13,,,,,,,,,,,,,,,,,
GHCND:AR000000001,1997-01-01,,,,,,,,,,,,,,,,3.54,,,,
GHCND:AR000000001,1997-01-01,,,,,,,,38.11,,,,,,,,,,,,
GHCND:AR000000001,1998-01-01,,87,,,,,,,,,,,,,,,,,,
GHCND:AR000000001,1998-01-01,68,,,,,,,,,,,,,,,,,,,
GHCND:AR000000001,1998-01-01,,,22,,,,,,,,,,,,,,,,,
GHCND:AR000000001,1998-01-01,,,,,,,,,,,,,,,,3.78,,,,
GHCND:AR000000001,1998-01-01,,,,,,,,61.02,,,,,,,,,,,,
GHCND:AR000000001,1999-01-01,,70,,,,,,,,,,,,,,,,,,
GHCND:AR000000001,1999-01-01,51,,,,,,,,,,,,,,,,,,,
GHCND:AR000000001,1999-01-01,,,14,,,,,,,,,,,,,,,,,
GHCND:AR000000001,1999-01-01,,,,,,,,,,,,,,,,2.28,,,,
GHCND:AR000000001,1999-01-01,,,,,,,,35.0,,,,,,,,,,,,
GHCND:AR000000002,1995-01-01,,68,,,,,,,,,,,,,,,,,,
GHCND:AR000000002,1995-01-01,46,,,,,,,,,,,,,,,,,,,
GHCND:AR000000002,1995-01-01,,,15,,,,,,,,,,,,,,,,,
GHCND:AR000000002,1995-01-01,,,,,,,,,,,,,,,,2.68,,,,
GHCND:AR000000002,1995-01-01,,,,,,,,36.61,,,,,,,,,,,,
GHCND:AR000000002,1996-01-01,,72,,,,,,,,,,,,,,,,,,
GHCND:AR000000002,1996-01-01,54,,,,,,,,,,,,,,,,,,,
GHCND:AR000000002,1996-01-01,,,15,,,,,,,,,,,,,,,,,
GHCND:AR000000002,1996-01-01,,,,,,,,,,,,,,,,3.07,,,,
GHCND:AR000000002,1996-01-01,,,,,,,,42.85,,,,,,,,,,,,
GHCND:AR000000002,1997-01-01,,75,,,,,,,,,,,,,,,,,,
GHCND:AR000000002,1997-01-01,66,,,,,,,,,,,,,,,,,,,
GHCND:AR000000002,1997-01-01,,,20,,,,,,,,,,,,,,,,,
GHCND:AR000000002,1997-01-01,,,,,,,,,,,,,,,,3.35,,,,
GHCND:AR000000002,1997-01-01,,,,,,,,54.84,,,,,,,,,,,,
GHCND:AR000000002,1998-01-01,,90,,,,,,,,,,,,,,,,,,
GHCND:AR000000002,1998-01-01,78,,,,,,,,,,,,,,,,,,,
GHCND:AR000000002,1998-01-01,,,32,,,,,,,,,,,,,,,,,
GHCND:AR000000002,1998-01-01,,,,,,,,,,,,,,,,10.47,,,,
GHCND:AR000000002,1998-01-01,,,,,,,,92.09,,,,,,,,,,,,
GHCND:AR000000002,1999-01-01,,82,,,,,,,,,,,,,,,,,,
GHCND:AR000000002,1999-01-01,61,,,,,,,,,,,,,,,,,,,
GHCND:AR000000002,1999-01-01,,,11,,,,,,,,,,,,,,,,,
GHCND:AR000000002,1999-01-01,,,,,,,,,,,,,,,,7.83,,,,
GHCND:AR000000002,1999-01-01,,,,,,,,48.19,,,,,,,,,,,,
GHCND:AR000000003,1996-01-01,,58,,,,,,,,,,,,,,,,,,
GHCND:AR000000003,1996-01-01,49,,,,,,,,,,,,,,,,,,,
GHCND:AR000000003,1996-01-01,,,19,,,,,,,,,,,,,,,,,
GHCND:AR000000003,1996-01-01,,,,,,,,,,,,,,,,3.9,,,,
GHCND:AR000000003,1996-01-01,,,,,,,,42.7,,,,,,,,,,,,
GHCND:AR000000003,1997-01-01,,69,,,,,,,,,,,,,,,,,,
GHCND:AR000000003,1997-01-01,54,,,,,,,,,,,,,,,,,,,
GHCND:AR000000003,1997-01-01,,,16,,,,,,,,,,,,,,,,,
GHCND:AR000000003,1997-01-01,,,,,,,,,,,,,,,,3.62,,,,
GHCND:AR000000003,1997-01-01,,,,,,,,49.09,,,,,,,,,,,,
GHCND:AR000000003,1998-01-01,,78,,,,,,,,,,,,,,,,,,
GHCND:AR000000003,1998-01-01,65,,,,,,,,,,,,,,,,,,,
GHCND:AR000000003,1998-01-01,,,19,,,,,,,,,,,,,,,,,
GHCND:AR000000003,1998-01-01,,,,,,,,,,,,,,,,4.02,,,,
GHCND:AR000000003,1998-01-01,,,,,,,,57.48,,,,,,,,,,,,
GHCND:AR000000004,1995-01-01,,69,,,,,,,,,,,,,,,,,,
GHCND:AR000000004,1995-01-01,47,,,,,,,,,,,,,,,,,,,
GHCND:AR000000004,1995-01-01,,,13,,,,,,,,,,,,,,,,,
GHCND:AR000000004,1995-01-01,,,,,,,,,,,,,,,,2.91,,,,
GHCND:AR000000004,1995-01-01,,,,,,,,39.06,,,,,,,,,,,,
GHCND:AR000000004,1996-01-01,,66,,,,,,,,,,,,,,,,,,
GHCND:AR000000004,1996-01-01,54,,,,,,,,,,,,,,,,,,,
GHCND:AR000000004,1996-01-01,,,19,,,,,,,,,,,,,,,,,
GHCND:AR000000004,1996-01-01,,,,,,,,,,,,,,,,3.35,,,,
GHCND:AR000000004,1996-01-01,,,,,,,,47.24,,,,,,,,,,,,
GHCND:AR000000004,1997-01-01,,80,,,,,,,,,,,,,,,,,,
GHCND:AR000000004,1997-01-01,65,,,,,,,,,,,,,,,,,,,
GHCND:AR000000004,1997-01-01,,,13,,,,,,,,,,,,,,,,,
GHCND:AR000000004,1997-01-01,,,,,,,,,,,,,,,,7.83,,,,
GHCND:AR000000004,1997-01-01,,,,,,,,53.15,,,,,,,,,,,,
GHCND:AR000000004,1998-01-01,,99,,,,,,,,,,,,,,,,,,
GHCND:AR000000004,1998-01-01,77,,,,,,,,,,,,,,,,,,,
GHCND:AR000000004,1998-01-01,,,25,,,,,,,,,,,,,,,,,
GHCND:AR000000004,1998-01-01,,,,,,,,,,,,,,,,6.89,,,,
GHCND:AR000000004,1998-01-01,,,,,,,,83.46,,,,,,,,,,,,
GHCND:AR000000004,1999-01-01,,58,,,,,,,,,,,,,,,,,,
GHCND:AR000000004,1999-01-01,44,,,,,,,,,,,,,,,,,,,
GHCND:AR000000004,1999-01-01,,,10,,,,,,,,,,,,,,,,,
GHCND:AR000000004,1999-01-01,,,,,,,,,,,,,,,,2.91,,,,
GHCND:AR000000004,1999-01-01,,,,,,,,29.09,,,,,,,,,,,,
GHCND:AR000000006,1995-01-01,,50,,,,,,,,,,,,,,,,,,
GHCND:AR000000006,1995-01-01,38,,,,,,,,,,,,,,,,,,,
GHCND:AR000000006,1995-01-01,,,11,,,,,,,,,,,,,,,,,
GHCND:AR000000006,1995-01-01,,,,,,,,,,,,,,,,2.95,,,,
GHCND:AR000000006,1995-01-01,,,,,,,,33.62,,,,,,,,,,,,
GHCND:AR000000006,1996-01-01,,48,,,,,,,,,,,,,,,,,,
GHCND:AR000000006,1996-01-01,43,,,,,,,,,,,,,,,,,,,
GHCND:AR000000006,1996-01-01,,,9,,,,,,,,,,,,,,,,,
GHCND:AR000000006,1996-01-01,,,,,,,,,,,,,,,,4.21,,,,
GHCND:AR000000006,1996-01-01,,,,,,,,33.41,,,,,,,,,,,,
GHCND:AR000000006,1997-01-01,,65,,,,,,,,,,,,,,,,,,
GHCND:AR000000006,1997-01-01,56,,,,,,,,,,,,,,,,,,,
GHCND:AR000000006,1997-01-01,,,17,,,,,,,,,,,,,,,,,
