Continent,Region/Country,Product,Variable,Year,Unit,Quantity,Quantity_gallons,Country_Code
Asia,Afghanistan,Wine,Production,1995,1000 hl,0,0.0,AF
Europe,Albania,Wine,Production,1995,1000 hl,169,4464506.8,AL
Africa,Algeria,Wine,Production,1995,1000 hl,571,15084221.200000001,AG
Oceania,American Samoa,Wine,Production,1995,1000 hl,0,0.0,AQ
Europe,Andorra,Wine,Production,1995,1000 hl,0,0.0,
Africa,Angola,Wine,Production,1995,1000 hl,0,0.0,AO
America,Antigua and Barbuda,Wine,Production,1995,1000 hl,0,0.0,AC
America,Argentina,Wine,Production,1995,1000 hl,16443,434378019.6,AR
Asia,Armenia,Wine,Production,1995,1000 hl,104,2747388.8000000003,AM
America,Aruba,Wine,Production,1995,1000 hl,0,0.0,
Oceania,Australia,Wine,Production,1995,1000 hl,5028,132825681.60000001,AS
Europe,Austria,Wine,Production,1995,1000 hl,2229,58883938.800000004,AU
Asia,Azerbaijan,Wine,Production,1995,1000 hl,71,1875621.2000000002,AJ
America,Bahamas,Wine,Production,1995,1000 hl,0,0.0,BF
Asia,Bahrain,Wine,Production,1995,1000 hl,0,0.0,BA
Asia,Bangladesh,Wine,Production,1995,1000 hl,0,0.0,BG
America,Barbados,Wine,Production,1995,1000 hl,0,0.0,BB
Europe,Belarus,Wine,Production,1995,1000 hl,102,2694554.4,BO
Europe,Belgium,Wine,Production,1995,1000 hl,1,26417.2,BE
Europe,Belgium and Luxemburg,Wine,Production,1995,1000 hl,0,0.0,
America,Belize,Wine,Production,1995,1000 hl,0,0.0,BH
Africa,Benin,Wine,Production,1995,1000 hl,0,0.0,BN
America,Bermuda,Wine,Production,1995,1000 hl,0,0.0,BD
Asia,Bhutan,Wine,Production,1995,1000 hl,0,0.0,
America,Bolivia,Wine,Production,1995,1000 hl,20,528344.0,BL
Europe,Bosnia and Herzegovina,Wine,Production,1995,1000 hl,34,898184.8,BK
Africa,Botswana,Wine,Production,1995,1000 hl,0,0.0,BC
America,Brazil,Wine,Production,1995,1000 hl,3128,82633001.60000001,BR
Asia,Brunei Darussalam,Wine,Production,1995,1000 hl,0,0.0,BX
Europe,Bulgaria,Wine,Production,1995,1000 hl,2641,69767825.2,BU
Africa,Burkina Faso,Wine,Production,1995,1000 hl,0,0.0,UV
Africa,Burundi,Wine,Production,1995,1000 hl,0,0.0,BY
Africa,Cabo Verde,Wine,Production,1995,1000 hl,0,0.0,
Asia,Cambodia,Wine,Production,1995,1000 hl,0,0.0,CB
Africa,Cameroon,Wine,Production,1995,1000 hl,0,0.0,CM
America,Canada,Wine,Production,1995,1000 hl,355,9378106.0,CA
America,Cayman Islands,Wine,Production,1995,1000 hl,0,0.0,CJ
Africa,Central African Republic,Wine,Production,1995,1000 hl,0,0.0,CT
Africa,Chad,Wine,Production,1995,1000 hl,0,0.0,CD
America,Chile,Wine,Production,1995,1000 hl,3164,83584020.8,CI
Asia,"China, Hong Kong SAR",Wine,Production,1995,1000 hl,0,0.0,
Asia,"China, Macao SAR",Wine,Production,1995,1000 hl,0,0.0,
Asia,"China, mainland",Wine,Production,1995,1000 hl,7000,184920400.0,CH
Asia,"China, Taiwan Province of",Wine,Production,1995,1000 hl,0,0.0,
America,Colombia,Wine,Production,1995,1000 hl,0,0.0,CO
Africa,Comoros,Wine,Production,1995,1000 hl,0,0.0,
