country,year,Quantity_hl,Quantity_gallons,Country_Code,dp10_mean,dp10_std,dp1x_mean,dp1x_std,dt32_mean,dt32_std,dx70_mean,dx70_std,dx90_mean,dx90_std,emnt_mean,emnt_std,emxp_mean,emxp_std,emxt_mean,emxt_std,htdd_mean,htdd_std,mnpn_mean,mnpn_std,mxpn_mean,mxpn_std,prcp_mean,prcp_std,tavg_mean,tavg_std,tmax_mean,tmax_std
Afghanistan,1995,0.0,0.0,AF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,1995,169.0,4464506.8,AL,97.0,,29.0,,,,160.0,,31.0,,,,13.67,,100.0,,,,,,,,90.82,,,,66.9,
Albania,1996,,,,101.0,,30.0,,,,173.0,,38.0,,,,3.84,,97.0,,,,,,,,92.59,,,,68.7,
Albania,1997,,,,70.0,,16.0,,,,161.0,,34.0,,,,7.68,,97.0,,,,,,,,57.74,,,,68.7,
Albania,1999,,,,91.0,,24.0,,,,188.0,,68.0,,,,4.32,,106.0,,,,,,,,72.34,,,,71.3,
Albania,2000,,,,70.0,,23.0,,,,185.0,,63.0,,,,6.65,,107.0,,,,,,,,69.22,,,,71.5,
Albania,2016,,,,,,,,,,188.0,,64.0,,,,,,101.0,,,,,,,,,,,,73.5,
Algeria,1995,571.0,15084221.2,AG,40.0,,4.0,,3.0,,227.0,16.97056274847714,38.5,16.263455967290593,31.0,,1.6,,105.0,0.0,1792.0,,,,,,21.72,,64.5,,75.6,0.1414213562373165
Algeria,1996,,,,59.0,,6.0,,2.0,,228.0,,21.0,,29.0,,2.56,,113.0,,1485.0,,,,,,31.57,,63.6,,73.5,
Algeria,1997,,,,35.0,12.727922061357855,3.0,2.8284271247461903,0.0,,223.0,11.31370849898476,37.0,24.04163056034261,33.0,,4.385,3.2597622612699846,102.0,1.4142135623730951,1700.0,,,,,,18.945,3.641599923110719,65.0,,75.80000000000001,0.565685424949231
Algeria,1998,,,,47.0,,6.0,,4.0,,220.0,,30.0,,30.0,,1.92,,104.0,,1632.0,,,,,,23.99,,63.7,,74.8,
Algeria,2003,,,,,,,,,,196.0,,108.0,,,,,,113.0,,,,,,,,,,,,76.8,
Algeria,2004,,,,47.0,5.656854249492381,5.0,4.242640687119285,,,,,,,,,1.77,0.1131370849898477,,,,,,,,,21.61,5.23259018078045,,,,
Algeria,2005,,,,34.36363636363637,9.667189118587965,1.9090909090909087,1.4459976109624424,26.0,22.869193252058544,209.6,3.646916505762094,57.2,24.983994876720576,24.33333333333333,7.767453465154029,1.8072727272727271,0.9956414104394304,107.2,5.019960159204454,2428.0,,,,,,14.876363636363635,6.09532980687226,64.35,2.1920310216782983,74.24000000000001,1.5093044755780771
Algeria,2006,,,,36.333333333333336,9.316001223050522,2.583333333333333,1.621353717973928,4.0,6.928203230275509,211.6,21.892921230388605,72.4,23.922792479140053,34.0,6.0,2.2333333333333334,1.408095640691119,104.6,4.159326868617085,,,,,,,17.095,7.358451541656648,65.05000000000001,0.4949747468305903,74.44,3.531713465161069
Algeria,2007,,,,45.583333333333336,11.774072697193096,4.333333333333333,3.651483716701108,6.25,8.770214744615247,178.28571428571428,21.422062503521037,50.142857142857146,24.96950521088054,29.75,6.994045086119096,2.651666666666667,1.4553339718762048,104.85714285714286,4.29839394148448,1382.0,663.2661607529816,,,,,22.951666666666668,10.59491029893242,63.86666666666667,2.205296654269745,72.87142857142858,3.0863755905129726
Algeria,2008,,,,42.41666666666666,9.268307027257736,1.8333333333333333,1.80067327475704,12.0,20.784609690826528,184.33333333333331,24.407990494917847,53.333333333333336,30.29026246172192,31.666666666666668,6.5064070986477125,1.745,0.8440971508067066,103.55555555555556,4.719934086168765,997.0,,,,,,17.906666666666666,5.378961260543178,64.2,2.211334438749601,73.06666666666666,3.0569592735265534
Algeria,2010,,,,48.85714285714285,13.190072857191575,2.7857142857142856,2.22498302253061,4.5,6.363961030678928,198.125,24.53241296151452,49.375,32.87177469241007,30.5,9.192388155425116,1.6621428571428571,0.5773037937946279,103.375,6.545172703167252,1702.0,19.79898987322333,,,,,20.05857142857143,7.395134426554612,65.55,2.4748737341529163,73.4125,3.330996204483836
