station,date,DP10,DP1X,DT32,DX70,DX90,EMNT,EMXP,EMXT,HTDD,MNPN,MXPN,PRCP,TAVG,TMAX,code,latitude,longitude,elevation,location,geometry
AG000060390,1995,40.0,4.0,3.0,239.0,27.0,31.0,1.6,105.0,1792.0,,,21.72,64.5,75.5,AG,36.7167,3.25,24.0,ALGER-DAR EL BEIDA             GSN     60390,POINT (361788.3450781391 4374144.074572196)
AG000060390,1996,59.0,6.0,2.0,228.0,21.0,29.0,2.56,113.0,1485.0,,,31.57,63.6,73.5,AG,36.7167,3.25,24.0,ALGER-DAR EL BEIDA             GSN     60390,POINT (361788.3450781391 4374144.074572196)
AG000060390,1997,44.0,5.0,0.0,231.0,20.0,33.0,2.08,101.0,1700.0,,,21.52,65.0,75.4,AG,36.7167,3.25,24.0,ALGER-DAR EL BEIDA             GSN     60390,POINT (361788.3450781391 4374144.074572196)
AG000060390,1998,47.0,6.0,4.0,220.0,30.0,30.0,1.92,104.0,1632.0,,,23.99,63.7,74.8,AG,36.7167,3.25,24.0,ALGER-DAR EL BEIDA             GSN     60390,POINT (361788.3450781391 4374144.074572196)
AG000060390,2004,51.0,8.0,,,,,1.85,,,,,25.31,,,AG,36.7167,3.25,24.0,ALGER-DAR EL BEIDA             GSN     60390,POINT (361788.3450781391 4374144.074572196)
AG000060390,2005,43.0,4.0,,,,,1.89,,,,,21.57,,,AG,36.7167,3.25,24.0,ALGER-DAR EL BEIDA             GSN     60390,POINT (361788.3450781391 4374144.074572196)
AG000060390,2006,42.0,4.0,,,,,2.4,,,,,22.25,,,AG,36.7167,3.25,24.0,ALGER-DAR EL BEIDA             GSN     60390,POINT (361788.3450781391 4374144.074572196)
AG000060390,2007,57.0,6.0,,,,,2.6,,,,,30.0,,,AG,36.7167,3.25,24.0,ALGER-DAR EL BEIDA             GSN     60390,POINT (361788.3450781391 4374144.074572196)
AG000060390,2008,46.0,1.0,,,,,1.06,,,,,19.62,,,AG,36.7167,3.25,24.0,ALGER-DAR EL BEIDA             GSN     60390,POINT (361788.3450781391 4374144.074572196)
AG000060390,2010,53.0,5.0,,,,,2.09,,,,,22.65,,,AG,36.7167,3.25,24.0,ALGER-DAR EL BEIDA             GSN     60390,POINT (361788.3450781391 4374144.074572196)
AG000060390,2011,54.0,4.0,,,,,1.89,,,,,26.9,,,AG,36.7167,3.25,24.0,ALGER-DAR EL BEIDA             GSN     60390,POINT (361788.3450781391 4374144.074572196)
AG000060390,2012,57.0,8.0,,,,,2.76,,,,,32.94,,,AG,36.7167,3.25,24.0,ALGER-DAR EL BEIDA             GSN     60390,POINT (361788.3450781391 4374144.074572196)
AG000060390,2013,68.0,6.0,,,,,4.57,,,,,34.83,,,AG,36.7167,3.25,24.0,ALGER-DAR EL BEIDA             GSN     60390,POINT (361788.3450781391 4374144.074572196)
AG000060390,2015,37.0,3.0,,,,,1.69,,,,,17.27,,,AG,36.7167,3.25,24.0,ALGER-DAR EL BEIDA             GSN     60390,POINT (361788.3450781391 4374144.074572196)
AG000060590,1995,3.0,0.0,12.0,278.0,136.0,25.0,0.39,114.0,1500.0,,,1.38,71.8,84.3,AG,30.5667,2.8667,397.0,EL-GOLEA                       GSN     60590,POINT (319119.58425707737 3554877.7580178003)
AG000060590,1996,4.0,0.0,7.0,286.0,149.0,28.0,0.63,115.0,1204.0,,,1.89,71.9,84.8,AG,30.5667,2.8667,397.0,EL-GOLEA                       GSN     60590,POINT (319119.58425707737 3554877.7580178003)
AG000060590,1997,7.0,0.0,4.0,284.0,148.0,30.0,0.94,116.0,1326.0,,,3.07,72.4,85.3,AG,30.5667,2.8667,397.0,EL-GOLEA                       GSN     60590,POINT (319119.58425707737 3554877.7580178003)
AG000060590,1998,0.0,0.0,16.0,267.0,154.0,27.0,0.04,116.0,1290.0,,,0.04,71.8,85.4,AG,30.5667,2.8667,397.0,EL-GOLEA                       GSN     60590,POINT (319119.58425707737 3554877.7580178003)
AG000060590,2006,4.0,0.0,,250.0,174.0,,0.55,117.0,,,,1.5,,87.6,AG,30.5667,2.8667,397.0,EL-GOLEA                       GSN     60590,POINT (319119.58425707737 3554877.7580178003)
AG000060590,2007,0.0,0.0,,,,,0.0,,,,,0.0,,,AG,30.5667,2.8667,397.0,EL-GOLEA                       GSN     60590,POINT (319119.58425707737 3554877.7580178003)
AG000060590,2008,4.0,1.0,17.0,,,27.0,1.1,,,,,1.73,,,AG,30.5667,2.8667,397.0,EL-GOLEA                       GSN     60590,POINT (319119.58425707737 3554877.7580178003)
AG000060590,2010,0.0,0.0,,,,,0.04,,,,,0.1,,,AG,30.5667,2.8667,397.0,EL-GOLEA                       GSN     60590,POINT (319119.58425707737 3554877.7580178003)
AG000060590,2011,3.0,0.0,,,,,0.31,,,,,0.78,,,AG,30.5667,2.8667,397.0,EL-GOLEA                       GSN     60590,POINT (319119.58425707737 3554877.7580178003)
AG000060590,2013,3.0,1.0,,,,,1.1,,,,,2.23,,,AG,30.5667,2.8667,397.0,EL-GOLEA                       GSN     60590,POINT (319119.58425707737 3554877.7580178003)
AG000060590,2015,1.0,0.0,,,,,0.12,,,,,0.28,,,AG,30.5667,2.8667,397.0,EL-GOLEA                       GSN     60590,POINT (319119.58425707737 3554877.7580178003)
AG000060590,2018,,,6.0,,,28.0,,,,,,,,,AG,30.5667,2.8667,397.0,EL-GOLEA                       GSN     60590,POINT (319119.58425707737 3554877.7580178003)
AGE00147708,2005,51.0,2.0,,212.0,73.0,,1.3,113.0,,,,21.57,,75.9,AG,36.72,4.05,222.0,TIZI OUZOU                             60395,POINT (450843.93771275796 4374600.383958588)
AGE00147708,2006,51.0,5.0,,,,,1.93,,,,,26.24,,,AG,36.72,4.05,222.0,TIZI OUZOU                             60395,POINT (450843.93771275796 4374600.383958588)
AGE00147708,2007,61.0,12.0,,204.0,74.0,,5.67,110.0,,,,45.21,,75.9,AG,36.72,4.05,222.0,TIZI OUZOU                             60395,POINT (450843.93771275796 4374600.383958588)
AGE00147708,2008,48.0,5.0,,201.0,77.0,,3.15,106.0,,,,25.66,,76.5,AG,36.72,4.05,222.0,TIZI OUZOU                             60395,POINT (450843.93771275796 4374600.383958588)
AGE00147708,2010,69.0,5.0,,209.0,76.0,,2.64,108.0,,,,30.64,,76.2,AG,36.72,4.05,222.0,TIZI OUZOU                             60395,POINT (450843.93771275796 4374600.383958588)
AGE00147708,2011,59.0,5.0,,225.0,81.0,,2.68,110.0,,,,33.56,,77.3,AG,36.72,4.05,222.0,TIZI OUZOU                             60395,POINT (450843.93771275796 4374600.383958588)
AGE00147708,2012,56.0,7.0,,220.0,106.0,,1.61,113.0,,,,28.66,,77.9,AG,36.72,4.05,222.0,TIZI OUZOU                             60395,POINT (450843.93771275796 4374600.383958588)
AGE00147708,2013,82.0,7.0,,210.0,73.0,,2.17,108.0,,,,41.48,,75.6,AG,36.72,4.05,222.0,TIZI OUZOU                             60395,POINT (450843.93771275796 4374600.383958588)
AGE00147708,2015,51.0,4.0,,233.0,88.0,,1.97,112.0,,,,27.39,,77.9,AG,36.72,4.05,222.0,TIZI OUZOU                             60395,POINT (450843.93771275796 4374600.383958588)
AGE00147708,2016,46.0,10.0,,,,,1.93,,,,,27.44,,,AG,36.72,4.05,222.0,TIZI OUZOU                             60395,POINT (450843.93771275796 4374600.383958588)
AGE00147708,2017,45.0,7.0,,,,,1.65,,,,,25.67,,,AG,36.72,4.05,222.0,TIZI OUZOU                             60395,POINT (450843.93771275796 4374600.383958588)
AGE00147708,2018,67.0,9.0,0.0,,,36.0,3.66,,,,,36.71,,,AG,36.72,4.05,222.0,TIZI OUZOU                             60395,POINT (450843.93771275796 4374600.383958588)
AGE00147708,2019,57.0,7.0,0.0,,,36.0,3.78,,,,,28.49,,,AG,36.72,4.05,222.0,TIZI OUZOU                             60395,POINT (450843.93771275796 4374600.383958588)
AGE00147708,2020,48.0,5.0,0.0,,,39.0,3.31,,,,,25.87,,,AG,36.72,4.05,222.0,TIZI OUZOU                             60395,POINT (450843.93771275796 4374600.383958588)
AGE00147708,2022,,,0.0,,,36.0,,,,,,,,,AG,36.72,4.05,222.0,TIZI OUZOU                             60395,POINT (450843.93771275796 4374600.383958588)
AGE00147708,2023,49.0,5.0,0.0,,,36.0,4.29,,,,,27.6,,,AG,36.72,4.05,222.0,TIZI OUZOU                             60395,POINT (450843.93771275796 4374600.383958588)
AGE00147716,2005,30.0,2.0,0.0,211.0,7.0,32.0,1.3,99.0,,,,12.42,65.2,72.9,AG,35.1,-1.85,83.0,NEMOURS (GHAZAOUET)                    60517,POINT (-205941.05796755612 4152909.538265234)
AGE00147716,2006,29.0,1.0,,,,,1.42,,,,,12.21,,,AG,35.1,-1.85,83.0,NEMOURS (GHAZAOUET)                    60517,POINT (-205941.05796755612 4152909.538265234)
AGE00147716,2010,43.0,5.0,,201.0,4.0,,2.8,98.0,,,,21.0,,72.3,AG,35.1,-1.85,83.0,NEMOURS (GHAZAOUET)                    60517,POINT (-205941.05796755612 4152909.538265234)
AGE00147716,2011,40.0,2.0,,197.0,6.0,,3.23,93.0,,,,19.44,,72.1,AG,35.1,-1.85,83.0,NEMOURS (GHAZAOUET)                    60517,POINT (-205941.05796755612 4152909.538265234)
AGE00147716,2012,39.0,4.0,0.0,177.0,8.0,36.0,1.46,107.0,1429.0,,,17.24,65.3,71.5,AG,35.1,-1.85,83.0,NEMOURS (GHAZAOUET)                    60517,POINT (-205941.05796755612 4152909.538265234)
AGE00147716,2013,37.0,3.0,0.0,192.0,1.0,39.0,1.97,92.0,,,,20.5,65.0,71.0,AG,35.1,-1.85,83.0,NEMOURS (GHAZAOUET)                    60517,POINT (-205941.05796755612 4152909.538265234)
AGE00147716,2015,26.0,4.0,0.0,196.0,9.0,40.0,2.56,93.0,,,,13.33,66.0,72.0,AG,35.1,-1.85,83.0,NEMOURS (GHAZAOUET)                    60517,POINT (-205941.05796755612 4152909.538265234)
AGE00147716,2016,35.0,0.0,1.0,,,32.0,0.79,,1019.0,,,9.97,,,AG,35.1,-1.85,83.0,NEMOURS (GHAZAOUET)                    60517,POINT (-205941.05796755612 4152909.538265234)
AGE00147716,2017,19.0,2.0,,,,,1.61,,,,,8.54,,,AG,35.1,-1.85,83.0,NEMOURS (GHAZAOUET)                    60517,POINT (-205941.05796755612 4152909.538265234)
AGE00147716,2018,41.0,2.0,0.0,,,42.0,1.3,,,,,15.37,,,AG,35.1,-1.85,83.0,NEMOURS (GHAZAOUET)                    60517,POINT (-205941.05796755612 4152909.538265234)
