Row Labels,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Grand Total
Afghanistan,,,,,,,,,1,1,1,9,10,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,,40
Albania,186,310,170,107,131,77,147,73,107,152,192,189,201,185,200,206,207,216,209,196,219,233,217,207,217,234,291,315,,5394
Algeria,243,250,195,200,247,225,203,320,220,350,350,350,304,312,406,280,288,311,338,372,189,178,245,300,268,263,289,289,,7785
American Samoa,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,,4
Angola,255,270,460,530,236,248,378,398,497,579,782,964,1027,1160,798,868,908,990,1017,1344,1350,916,759,549,362,317,317,317,,18596
Antigua and Barbuda,1,2,2,3,3,4,5,5,4,3,8,11,9,8,7,6,6,11,17,19,16,21,25,24,20,15,15,15,,285
Argentina,13888,13365,13390,12683,12567,12491,12036,11988,12338,11113,10972,11103,11166,10677,10342,9753,9809,10051,10352,9938,10269,9416,8925,8396,8532,9430,8381,8276,7759,309406
Armenia,104,80,44,20,56,38,54,41,24,65,70,42,36,35,43,47,61,49,54,42,43,59,74,65,86,98,98,98,,1626
Australia,3275,3287,3472,3644,3726,3899,3976,4007,4196,4361,4523,4769,4869,5043,5122,5389,5406,5420,5379,5418,5476,5380,5360,5272,5803,5950,5604,5403,5400,138829
Austria,2545,2420,2498,2478,2505,2477,2291,2403,2383,2400,2400,2450,2450,2400,2400,2400,2542,2652,2803,3001,2375,2423,2415,2353,2256,2306,2360,2350,2300,71036
Azerbaijan,24,20,15,12,1,26,22,41,15,12,20,38,52,68,56,80,72,57,59,58,85,106,95,89,68,55,90,43,,1379
Bahamas,13,12,14,14,17,16,17,15,14,12,15,33,36,34,30,30,30,34,33,31,36,38,35,36,37,37,37,37,,743
Bahrain,4,4,9,4,6,12,12,14,11,14,23,18,21,10,26,25,27,17,16,19,14,13,21,21,13,15,15,15,,419
Bangladesh,2,2,,,,,1,1,1,1,,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,,29
Barbados,7,7,8,4,9,11,9,10,10,13,19,21,20,25,21,22,21,21,23,23,29,34,29,27,27,26,26,26,,528
Belarus,248,296,312,289,175,266,251,274,335,577,563,535,616,669,635,684,733,757,796,812,793,756,801,864,927,984,960,960,,16868
Belgium,,,,,,2486,2400,2724,2614,2741,2791,2903,2900,2990,2850,2760,2917,2872,2886,2666,2966,2802,2818,2735,2659,2655,2382,2066,1831,64414
Belgium and Luxemburg,2122,2127,2138,2444,2364,,,,,,,,,,,,,,,,,,,,,,,,,11195
Belize,1,1,1,1,1,2,2,1,9,2,4,3,4,4,3,4,4,6,12,15,14,13,14,15,15,13,13,13,,190
Benin,15,24,30,36,37,29,25,24,41,38,45,57,17,33,30,56,83,65,42,34,38,39,32,23,19,23,23,23,,981
Bermuda,14,12,10,14,11,13,13,14,13,10,12,27,33,28,21,21,28,34,22,13,15,15,15,15,16,15,15,15,,484
