Row Labels,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Grand Total
Algeria,128,195,61,40,26,55,29,40,70,70,50,20,24,17,7,12,8,4,2,3,2,2,3,2,1,1,1,1,,874
Angola,,,,,,,,,,,,,,,,,,,,,9,23,9,9,54,9,12,4,5,134
Antigua and Barbuda,,,,,,,,,,3,,1,1,1,1,2,,,,,,,,,,,1,1,,11
Argentina,1970,1120,1205,1089,880,843,882,1234,1852,1553,2148,2934,3598,4141,2830,2744,3115,3656,3150,2626,2675,2598,2233,2754,3123,3949,3345,2660,1966,68873
Armenia,2,4,9,8,2,5,16,6,3,4,5,4,9,5,5,9,7,12,14,21,14,18,27,25,28,25,31,47,43,408
Aruba,,,,,,7,6,3,1,1,1,2,1,,1,1,3,3,4,2,1,,2,,,,,,,39
Australia,1161,1477,1709,1983,2161,3109,3750,4715,5365,6426,7019,7598,7862,6985,7719,7811,7011,7214,7111,7242,7435,7636,8176,8564,7477,7616,6314,6396,6209,171251
Austria,197,170,217,112,227,346,524,393,678,730,671,561,517,609,696,620,453,471,470,497,486,485,481,526,608,667,690,660,650,14412
Azerbaijan,257,152,388,130,36,21,14,2,5,5,5,16,17,18,14,19,34,39,38,35,1,1,37,66,53,23,26,30,,1482
Bahamas,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,2,8
Barbados,1,,1,,,,1,,,,,,,1,1,1,1,1,,,,,1,1,,,,,,10
Belarus,47,20,45,18,17,10,11,25,13,6,8,6,4,2,2,2,3,5,5,8,16,22,22,27,31,26,25,25,,451
Belgium,,,,,,,206,192,179,169,206,215,334,405,258,215,246,261,292,314,342,301,342,388,436,473,1431,1404,1421,10030
Belgium and Luxemburg,328,181,219,236,239,283,,,,,,,,,,,,,,,,,,,,,,,,1486
Benin,,,,,,,8,12,5,,3,,,17,26,,,,,,,,,,,,,,,71
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1
Bosnia and Herzegovina,20,27,23,4,22,4,19,19,35,53,36,24,21,24,25,30,31,28,33,23,18,20,17,36,37,29,32,32,,722
Botswana,2,2,,1,,,,1,,,,,,1,,,1,1,1,,,,,,,,,,,10
Brazil,146,145,153,78,76,65,56,23,15,30,36,34,27,96,257,15,13,59,91,27,13,20,32,42,38,50,80,78,59,1854
Bulgaria,1997,1805,1626,1526,978,793,791,788,768,905,1142,1127,1185,939,617,605,668,669,613,503,495,454,451,449,463,470,414,328,420,23989
Burkina Faso,,,,,,,7,2,,,,,,,,,,3,1,2,,1,1,1,1,1,1,1,,22
Cabo Verde,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Cambodia,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2
Cameroon,,2,,,,6,6,9,6,31,18,16,12,8,7,6,5,5,3,1,1,1,,,2,2,,,,147
Canada,13,12,25,14,15,25,29,18,31,25,19,15,30,86,111,151,229,268,423,647,734,717,884,960,1401,1655,2080,2129,2259,15005
Central African Republic,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
Chile,1290,1841,2163,2298,2298,2647,3089,3553,4029,4740,4209,4740,6100,5885,6931,7321,6600,7439,8789,7999,8757,9076,9402,8427,8686,8498,8656,8294,6791,170548
"China, Hong Kong SAR",5,32,244,154,20,10,10,10,10,17,20,36,58,69,85,123,185,187,191,223,273,272,245,166,112,66,102,82,110,3117
"China, Macao SAR",,2,3,1,1,1,,,,1,,1,1,2,2,6,6,6,6,7,4,6,5,4,4,3,7,6,5,90
"China, mainland",26,29,28,33,45,42,30,23,21,21,29,43,98,54,15,15,19,20,19,37,82,100,94,63,36,16,42,29,33,1142
"China, Taiwan Province of",,,,,3,,,2,1,,,,1,2,2,3,4,3,1,1,1,,,,1,,1,,,26
Colombia,,,,,,,,,,2,,,,,,,1,,,,,,,,,1,,,,4
Congo,,,,,,,,,2,,,,2,,3,3,3,4,4,5,4,4,1,2,1,2,2,2,,44
Costa Rica,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Côte d'Ivoire,,,,,2,2,2,1,,1,,,,,,,,,,,1,,1,1,1,,5,,1,18
Croatia,193,240,78,87,66,78,94,108,84,49,28,30,31,28,26,24,38,58,30,37,49,36,52,57,53,35,43,46,40,1818
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1
Cyprus,504,162,118,64,58,78,68,63,107,59,80,34,73,31,28,18,22,16,12,10,10,6,5,6,6,2,4,3,4,1651
Czech Republic,11,11,11,14,17,33,20,29,21,31,33,47,85,182,185,233,287,270,335,207,148,61,78,69,83,114,97,86,28,2826
Denmark,36,44,92,108,111,171,257,299,344,395,391,215,334,408,362,344,233,369,429,366,309,320,271,279,267,313,367,389,335,8158
Dominica,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,2
Dominican Republic,,,,,,,,,,,,,,1,1,1,1,1,60,112,,,18,78,72,43,46,46,,480
Ecuador,,,,,,,,,,1,1,1,,1,1,1,,,,,,,,,,,,,,6
Egypt,,,,,,,,,,,,,,4,2,,,,,,,,,,,,,,,6
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,2,50,3,95,1,1,,152
Estonia,5,4,,1,1,2,1,1,5,5,13,34,45,35,45,52,56,46,40,35,32,49,64,60,55,38,50,51,46,871
Eswatini,,,1,1,2,1,6,5,,,7,1,,,,,,2,5,4,12,2,1,1,3,11,8,8,,81
Ethiopia,,,,,,,,,,,,,,,,,1,2,,1,1,1,,1,1,1,1,1,,11
Finland,2,2,1,2,1,1,3,2,3,8,9,11,19,19,27,28,12,8,11,76,95,94,90,95,103,95,76,80,92,1065
France,11478,12990,15737,16485,16105,15039,15126,15541,15148,14210,13834,14861,14506,12798,12969,13888,14722,15006,14532,14307,13982,14539,14821,14188,13517,14375,14252,13441,12667,415064
Gabon,,,,,,,,,,,,2,,,,,,,4,1,,,1,2,1,,,,,11
Georgia,35,37,124,154,145,159,167,172,237,234,416,150,93,106,96,122,169,202,359,459,272,376,579,627,701,688,805,1034,895,9613
