Continent,country,Product,Variable,Year,Unit,Quantity
Asia,Afghanistan,Wine,Consumption,1995,1000 hl,0
Asia,Afghanistan,Wine,Imports,1995,1000 hl,0
Asia,Afghanistan,Wine,Production,1995,1000 hl,0
Asia,Afghanistan,Wine,Consumption,1996,1000 hl,0
Asia,Afghanistan,Wine,Imports,1996,1000 hl,0
Asia,Afghanistan,Wine,Production,1996,1000 hl,0
Asia,Afghanistan,Wine,Consumption,1997,1000 hl,0
Asia,Afghanistan,Wine,Imports,1997,1000 hl,0
Asia,Afghanistan,Wine,Production,1997,1000 hl,0
Asia,Afghanistan,Wine,Consumption,1998,1000 hl,0
Asia,Afghanistan,Wine,Imports,1998,1000 hl,0
Asia,Afghanistan,Wine,Production,1998,1000 hl,0
Asia,Afghanistan,Wine,Consumption,1999,1000 hl,0
Asia,Afghanistan,Wine,Imports,1999,1000 hl,0
Asia,Afghanistan,Wine,Production,1999,1000 hl,0
Asia,Afghanistan,Wine,Consumption,2000,1000 hl,0
Asia,Afghanistan,Wine,Imports,2000,1000 hl,0
Asia,Afghanistan,Wine,Production,2000,1000 hl,0
Asia,Afghanistan,Wine,Consumption,2001,1000 hl,0
Asia,Afghanistan,Wine,Imports,2001,1000 hl,0
Asia,Afghanistan,Wine,Production,2001,1000 hl,0
Asia,Afghanistan,Wine,Consumption,2002,1000 hl,0
Asia,Afghanistan,Wine,Imports,2002,1000 hl,0
Asia,Afghanistan,Wine,Production,2002,1000 hl,0
Asia,Afghanistan,Wine,Consumption,2003,1000 hl,  1
Asia,Afghanistan,Wine,Imports,2003,1000 hl,  1
Asia,Afghanistan,Wine,Production,2003,1000 hl,0
Asia,Afghanistan,Wine,Consumption,2004,1000 hl,  1
Asia,Afghanistan,Wine,Imports,2004,1000 hl,  1
Asia,Afghanistan,Wine,Production,2004,1000 hl,0
Asia,Afghanistan,Wine,Consumption,2005,1000 hl,  1
Asia,Afghanistan,Wine,Imports,2005,1000 hl,  1
Asia,Afghanistan,Wine,Production,2005,1000 hl,0
Asia,Afghanistan,Wine,Consumption,2006,1000 hl,  9
Asia,Afghanistan,Wine,Imports,2006,1000 hl,  9
Asia,Afghanistan,Wine,Production,2006,1000 hl,0
Asia,Afghanistan,Wine,Consumption,2007,1000 hl,  10
Asia,Afghanistan,Wine,Imports,2007,1000 hl,  10
Asia,Afghanistan,Wine,Production,2007,1000 hl,0
Asia,Afghanistan,Wine,Consumption,2008,1000 hl,  1
Asia,Afghanistan,Wine,Imports,2008,1000 hl,  1
Asia,Afghanistan,Wine,Production,2008,1000 hl,0
Asia,Afghanistan,Wine,Consumption,2009,1000 hl,  3
Asia,Afghanistan,Wine,Imports,2009,1000 hl,  3
Asia,Afghanistan,Wine,Production,2009,1000 hl,0
Asia,Afghanistan,Wine,Consumption,2010,1000 hl,  2
Asia,Afghanistan,Wine,Imports,2010,1000 hl,  2
Asia,Afghanistan,Wine,Production,2010,1000 hl,0
Asia,Afghanistan,Wine,Consumption,2011,1000 hl,  1
Asia,Afghanistan,Wine,Imports,2011,1000 hl,  1
Asia,Afghanistan,Wine,Production,2011,1000 hl,0
Asia,Afghanistan,Wine,Consumption,2012,1000 hl,  1
Asia,Afghanistan,Wine,Imports,2012,1000 hl,  1
Asia,Afghanistan,Wine,Production,2012,1000 hl,0
Asia,Afghanistan,Wine,Consumption,2013,1000 hl,  1
Asia,Afghanistan,Wine,Imports,2013,1000 hl,0
Asia,Afghanistan,Wine,Production,2013,1000 hl,0
Asia,Afghanistan,Wine,Consumption,2014,1000 hl,  1
Asia,Afghanistan,Wine,Imports,2014,1000 hl,  1
Asia,Afghanistan,Wine,Production,2014,1000 hl,0
Asia,Afghanistan,Wine,Consumption,2015,1000 hl,  1
Asia,Afghanistan,Wine,Imports,2015,1000 hl,  1
Asia,Afghanistan,Wine,Production,2015,1000 hl,0
Asia,Afghanistan,Wine,Consumption,2016,1000 hl,  1
Asia,Afghanistan,Wine,Imports,2016,1000 hl,  1
Asia,Afghanistan,Wine,Production,2016,1000 hl,0
Asia,Afghanistan,Wine,Consumption,2017,1000 hl,  1
Asia,Afghanistan,Wine,Imports,2017,1000 hl,  1
Asia,Afghanistan,Wine,Production,2017,1000 hl,0
Asia,Afghanistan,Wine,Consumption,2018,1000 hl,  1
Asia,Afghanistan,Wine,Imports,2018,1000 hl,  1
Asia,Afghanistan,Wine,Production,2018,1000 hl,0
Asia,Afghanistan,Wine,Consumption,2019,1000 hl,  1
