code,date,DP10_mean,DP10_std,DP1X_mean,DP1X_std,DT32_mean,DT32_std,DX70_mean,DX70_std,DX90_mean,DX90_std,EMNT_mean,EMNT_std,EMXP_mean,EMXP_std,EMXT_mean,EMXT_std,HTDD_mean,HTDD_std,MNPN_mean,MNPN_std,MXPN_mean,MXPN_std,PRCP_mean,PRCP_std,TAVG_mean,TAVG_std,TMAX_mean,TMAX_std
AE,1996-01-01T00:00:00,,,,,,,339.0,,218.0,,,,,,119.0,,,,,,,,,,,,96.7,
AE,2004-01-01T00:00:00,4.0,,0.0,,,,,,,,,,0.9,,,,,,,,,,2.31,,,,,
AE,2006-01-01T00:00:00,7.0,,1.0,,,,335.0,,231.0,,,,1.77,,118.0,,,,,,,,4.08,,,,97.2,
AE,2008-01-01T00:00:00,,,,,,,330.0,,247.0,,,,,,120.0,,,,,,,,,,,,97.3,
AE,2009-01-01T00:00:00,,,,,,,329.0,,234.0,,,,,,121.0,,,,,,,,,,,,97.9,
AE,2010-01-01T00:00:00,5.0,,1.0,,,,,,,,,,3.15,,,,,,,,,,4.83,,,,,
AE,2011-01-01T00:00:00,2.0,,0.0,,,,,,,,,,0.63,,,,,,,,,,1.01,,,,,
AE,2012-01-01T00:00:00,2.0,,1.0,,,,342.5,4.949747468305833,225.0,1.4142135623730951,,,1.66,,120.0,1.4142135623730951,,,,,,,2.06,,,,96.4,0.565685424949231
AE,2014-01-01T00:00:00,5.0,,0.0,,,,,,,,,,0.62,,,,,,,,,,2.33,,,,,
AE,2019-01-01T00:00:00,8.0,,0.0,,,,,,,,,,0.86,,,,,,,,,,2.91,,,,,
AE,2020-01-01T00:00:00,8.0,,3.0,,,,,,,,,,1.65,,,,,,,,,,5.94,,,,,
AE,2023-01-01T00:00:00,9.0,1.4142135623730951,1.5,0.7071067811865476,,,,,,,,,1.35,0.4101219330881974,,,,,,,,,4.645,1.7324116139070418,,,,
AG,1995-01-01T00:00:00,40.0,,4.0,,3.0,,227.0,16.97056274847714,38.5,16.263455967290593,31.0,,1.6,,105.0,0.0,1792.0,,,,,,21.72,,64.5,,75.6,0.14142135623731653
AG,1996-01-01T00:00:00,59.0,,6.0,,2.0,,228.0,,21.0,,29.0,,2.56,,113.0,,1485.0,,,,,,31.57,,63.6,,73.5,
AG,1997-01-01T00:00:00,35.0,12.727922061357855,3.0,2.8284271247461903,0.0,,223.0,11.313708498984761,37.0,24.041630560342615,33.0,,4.385,3.2597622612699846,102.0,1.4142135623730951,1700.0,,,,,,18.945,3.641599923110719,65.0,,75.80000000000001,0.565685424949231
AG,1998-01-01T00:00:00,47.0,,6.0,,4.0,,220.0,,30.0,,30.0,,1.92,,104.0,,1632.0,,,,,,23.99,,63.7,,74.8,
AG,2003-01-01T00:00:00,,,,,,,196.0,,108.0,,,,,,113.0,,,,,,,,,,,,76.8,
AG,2004-01-01T00:00:00,47.0,5.656854249492381,5.0,4.242640687119285,,,,,,,,,1.77,0.1131370849898477,,,,,,,,,21.61,5.23259018078045,,,,
AG,2005-01-01T00:00:00,34.36363636363637,9.667189118587963,1.9090909090909092,1.4459976109624424,26.0,22.869193252058544,209.6,3.646916505762094,57.2,24.983994876720576,24.333333333333332,7.767453465154029,1.8072727272727271,0.9956414104394304,107.2,5.019960159204454,2428.0,,,,,,14.876363636363635,6.09532980687226,64.35,2.1920310216782983,74.24000000000001,1.5093044755780773
AG,2006-01-01T00:00:00,36.333333333333336,9.316001223050522,2.5833333333333335,1.621353717973928,4.0,6.928203230275509,211.6,21.892921230388605,72.4,23.922792479140053,34.0,6.0,2.2333333333333334,1.408095640691119,104.6,4.159326868617085,,,,,,,17.095,7.358451541656648,65.05000000000001,0.4949747468305903,74.44,3.531713465161069
AG,2007-01-01T00:00:00,45.583333333333336,11.774072697193095,4.333333333333333,3.6514837167011076,6.25,8.770214744615247,178.28571428571428,21.422062503521033,50.142857142857146,24.96950521088054,29.75,6.994045086119096,2.651666666666667,1.4553339718762048,104.85714285714286,4.29839394148448,1382.0,663.2661607529816,,,,,22.951666666666668,10.59491029893242,63.86666666666667,2.205296654269745,72.87142857142858,3.0863755905129726
AG,2008-01-01T00:00:00,42.416666666666664,9.268307027257737,1.8333333333333333,1.80067327475704,12.0,20.784609690826528,184.33333333333334,24.407990494917847,53.333333333333336,30.29026246172192,31.666666666666668,6.5064070986477125,1.745,0.8440971508067066,103.55555555555556,4.719934086168765,997.0,,,,,,17.906666666666666,5.378961260543178,64.2,2.2113344387496014,73.06666666666666,3.0569592735265534
AG,2010-01-01T00:00:00,48.857142857142854,13.190072857191577,2.7857142857142856,2.22498302253061,4.5,6.363961030678928,198.125,24.53241296151452,49.375,32.87177469241007,30.5,9.192388155425117,1.6621428571428571,0.5773037937946279,103.375,6.545172703167252,1702.0,19.79898987322333,,,,,20.05857142857143,7.395134426554612,65.55,2.4748737341529163,73.4125,3.330996204483836
AG,2011-01-01T00:00:00,42.92307692307692,14.056205856379703,3.3076923076923075,2.323238235187235,20.5,10.606601717798213,199.625,23.120414603301807,55.125,32.365932265710676,25.5,0.7071067811865476,1.8376923076923077,0.5276702544543302,103.875,5.986592162013856,,,,,,,20.543076923076924,8.946590025083472,63.1,,73.9375,3.3170285756122997
AG,2012-01-01T00:00:00,41.0,13.171939872319491,4.230769230769231,3.139900374052393,,,195.0,17.32050807568877,65.71428571428571,39.70186513550838,,,1.8976923076923078,0.6002520837969362,107.85714285714286,5.2417736002416655,,,,,,,19.69076923076923,8.135891122610625,,,73.72857142857143,3.210770564684998
