country_code,year,DP10,DP1X,DT32,DX70,DX90,EMNT,EMXP,EMXT,HTDD,MNPN,MXPN,PRCP,TAVG,TMAX
AE,1996,,,,339.0,218.0,,,119.0,,,,,,96.7
AE,2004,4.0,0.0,,,,,0.9,,,,,2.31,,
AE,2006,7.0,1.0,,335.0,231.0,,1.77,118.0,,,,4.08,,97.2
AE,2008,,,,330.0,247.0,,,120.0,,,,,,97.3
AE,2009,,,,329.0,234.0,,,121.0,,,,,,97.9
AE,2010,5.0,1.0,,,,,3.15,,,,,4.83,,
AE,2011,2.0,0.0,,,,,0.63,,,,,1.01,,
AE,2012,2.0,1.0,,346.0,226.0,,1.66,120.0,,,,2.06,,96.4
AE,2014,5.0,0.0,,,,,0.62,,,,,2.33,,
AE,2019,8.0,0.0,,,,,0.86,,,,,2.91,,
AE,2020,8.0,3.0,,,,,1.65,,,,,5.94,,
AE,2023,8.0,1.0,,,,,1.06,,,,,3.42,,
AG,1995,40.0,4.0,3.0,239.0,27.0,26.25,1.6,107.83333333333333,1792.0,,,21.72,70.05,81.11666666666666
AG,1996,59.0,6.0,2.0,228.0,21.0,30.5,2.56,110.25,1485.0,,,31.57,70.05,82.4
AG,1997,44.0,5.0,0.0,231.0,20.0,31.75,2.08,108.28571428571429,1700.0,,,21.52,70.35,81.08571428571429
AG,1998,47.0,6.0,4.0,220.0,30.0,29.0,1.92,108.25,1632.0,,,23.99,70.175,82.9
AG,2002,,,25.0,303.0,138.0,29.666666666666668,,101.0,,,,,,78.0
AG,2003,,,,196.0,108.0,,,107.0,,,,,,73.44999999999999
AG,2004,51.0,8.0,1.0,,,30.0,1.85,,,,,25.31,,
AG,2005,43.0,4.0,0.0,212.0,73.0,22.666666666666668,1.89,106.5,2428.0,,,21.57,64.4375,74.19375000000001
AG,2006,42.0,4.0,24.0,250.0,174.0,28.75,2.4,105.46153846153847,,,,22.25,63.575,76.24615384615385
AG,2007,57.0,6.0,1.0,204.0,74.0,28.0,2.6,104.92857142857143,1851.0,,,30.0,65.16666666666667,73.81428571428572
AG,2008,46.0,1.0,17.0,201.0,77.0,30.142857142857142,1.06,104.4,997.0,,,19.62,64.26,73.66666666666667
AG,2010,53.0,5.0,0.0,209.0,76.0,26.857142857142858,2.09,104.47368421052632,1688.0,,,22.65,66.78571428571429,75.08421052631579
AG,2011,54.0,4.0,4.0,225.0,81.0,28.25,1.89,104.57894736842105,869.0,,,26.9,64.38888888888889,74.66315789473684
AG,2012,57.0,8.0,0.0,220.0,106.0,27.5,2.76,108.36842105263158,1429.0,,,32.94,65.125,75.64736842105263
AG,2013,68.0,6.0,0.0,210.0,73.0,31.5,4.57,105.75,,,,34.83,66.05,72.35
AG,2015,37.0,3.0,0.0,233.0,88.0,28.857142857142858,1.69,107.05555555555556,1847.0,,,17.27,64.12857142857142,74.67777777777778
AG,2016,46.0,10.0,1.0,,,28.153846153846153,1.93,,1019.0,,,27.44,,
AG,2017,45.0,7.0,22.0,,,26.375,1.65,,,,,25.67,,
AG,2018,67.0,9.0,6.0,,,29.833333333333332,3.66,,,,,36.71,,
AG,2019,57.0,7.0,0.0,,,26.4,3.78,,,,,28.49,,
AG,2020,48.0,5.0,0.0,,,29.5,3.31,,,,,25.87,,
AG,2021,10.0,0.0,0.0,,,43.0,0.71,,,,,4.03,,
AG,2022,26.0,0.0,0.0,214.0,7.0,30.5,0.94,97.0,,,,9.72,,71.9
AG,2023,49.0,5.0,0.0,228.0,15.0,28.58823529411765,4.29,108.0,828.0,,,27.6,66.0,76.52222222222223
AJ,2015,,,,143.0,46.0,,,101.75,,,,,,66.675
AJ,2016,,,,161.0,37.0,,,102.0,,,,,,65.56666666666668
AJ,2017,,,,161.0,57.0,,,101.25,,,,,,65.75
AJ,2018,62.0,52.0,,148.0,17.0,,3.93,104.0,,,,207.36,,66.775
AJ,2019,34.0,21.0,,185.0,47.0,,3.93,101.0,,,,84.57,,67.24
AJ,2020,18.0,14.0,,174.0,39.0,,3.93,99.2,,,,56.96,,66.72
AJ,2021,28.0,26.0,,,,,3.93,,,,,103.06,,
AJ,2022,48.0,35.0,,165.0,48.0,,3.93,102.6,,,,141.51,,67.56
AJ,2023,61.0,49.0,,189.0,39.0,,3.93,100.0,,,,196.19,,68.7
AL,1995,97.0,29.0,,160.0,31.0,,13.67,100.0,,,,90.82,,66.9
AL,1996,101.0,30.0,,173.0,38.0,,3.84,97.0,,,,92.59,,68.7
AL,1997,70.0,16.0,,178.0,25.0,,7.68,98.5,,,,57.74,,69.65
AL,1998,,,,182.0,45.0,,,105.0,,,,,,70.9
AL,1999,91.0,24.0,,187.0,35.0,,4.32,106.5,,,,72.34,,71.0
AL,2000,70.0,23.0,,194.0,18.0,,6.65,103.0,,,,69.22,,70.95
AL,2016,,,,188.0,64.0,,,101.0,,,,,,73.5
AM,1995,45.0,1.0,249.0,0.0,0.0,-13.5,1.0,74.0,13306.0,,,17.5,35.5,43.849999999999994
AM,1996,41.0,0.0,68.0,163.0,44.0,-5.0,0.99,93.0,13542.0,,,13.53,49.3,59.35
AM,1997,31.0,0.0,99.0,163.0,45.0,-2.0,0.78,91.5,4661.0,,,9.86,47.900000000000006,58.599999999999994
AM,1998,25.0,2.0,83.0,177.0,66.0,7.0,1.84,106.0,5009.0,,,11.02,56.6,66.6
AM,1999,46.0,2.0,173.0,0.0,0.0,-1.0,1.7,76.5,3944.0,,,18.72,43.5,44.900000000000006
AM,2000,18.0,0.0,101.0,0.0,0.0,3.0,0.86,88.33333333333333,8419.0,,,8.09,48.95,51.20000000000001
AM,2001,,,157.0,0.0,0.0,-8.0,,76.5,7792.0,,,,43.5,44.85
AM,2002,,,172.0,0.0,0.0,-9.0,,80.0,8214.0,,,,41.6,50.333333333333336
AM,2003,58.0,1.0,92.0,0.0,0.0,-5.0,1.25,88.66666666666667,8618.0,,,18.54,48.1,49.86666666666667
AM,2004,31.0,0.0,101.0,0.0,0.0,-1.0,0.74,82.0,4687.0,,,10.96,48.7,50.833333333333336
AM,2005,,,,0.0,0.0,,,67.0,5248.0,,,,,34.2
AM,2006,,,,81.0,2.0,,,80.0,,,,,,43.95
AM,2007,,,,70.0,0.0,,,83.0,,,,,,49.95
AM,2008,,,,71.0,0.0,,,84.5,,,,,,51.15
AM,2009,,,,45.0,0.0,,,78.5,,,,,,50.3
AM,2010,,,,94.0,0.0,,,86.0,,,,,,55.3
AM,2012,,,,90.0,0.0,,,84.5,,,,,,51.95
AM,2013,,,,71.0,0.0,,,81.5,,,,,,51.599999999999994
AM,2014,102.0,44.0,,87.0,0.0,,3.93,87.0,,,,186.59,,53.25
AM,2015,69.0,2.0,107.0,97.0,5.0,11.0,1.43,93.83333333333333,,,,23.64,56.4,57.68333333333334
AM,2016,77.0,2.0,,78.0,0.0,,1.31,91.28571428571429,,,,29.0,,56.24285714285714
AM,2017,45.0,1.0,107.0,98.0,4.0,-11.0,1.15,94.66666666666667,,,,15.68,53.7,59.67777777777778
AM,2018,55.0,2.0,,78.0,0.0,,2.35,88.0,,,,21.49,,55.150000000000006
AM,2019,34.0,2.0,103.0,96.0,2.0,14.0,3.91,93.83333333333333,,,,14.76,56.7,59.949999999999996
AM,2020,43.0,1.0,,99.0,0.0,,1.06,91.4,,,,15.61,,59.21
AM,2022,37.0,1.0,,89.0,0.0,,1.02,92.33333333333333,,,,12.05,,58.62222222222223
AM,2023,17.0,8.0,,85.0,0.0,,3.93,92.91666666666667,,,,33.91,,60.375
AQ,1995,157.0,37.0,0.0,365.0,44.0,73.0,4.83,93.0,0.0,,,124.19,82.7,87.4
AQ,2005,178.0,51.0,0.0,365.0,39.0,73.0,5.21,91.0,0.0,,,150.11,82.6,86.7
AQ,2010,232.0,79.0,0.0,365.0,43.0,68.0,6.23,93.0,0.0,,,213.76,82.3,86.7
AQ,2015,168.0,44.0,0.0,365.0,18.0,71.0,5.69,91.0,0.0,,,151.09,81.5,85.5
AQ,2020,171.0,75.0,0.0,366.0,23.0,71.0,7.95,92.0,0.0,,,235.21,82.2,86.6
AR,1995,36.0,8.0,17.0,307.0,111.0,18.545454545454547,2.8,104.0,1079.0,,,24.17,62.53125,74.7875
AR,1996,50.0,18.0,20.0,296.0,96.0,20.608695652173914,2.91,98.57894736842105,1088.0,,,42.52,61.38947368421053,72.83157894736841
AR,1997,56.0,13.0,141.0,112.0,0.0,22.083333333333332,3.54,98.52380952380952,5210.0,,,38.11,61.833333333333336,72.87619047619049
AR,1998,68.0,22.0,1.0,331.0,124.0,27.416666666666668,3.78,99.9090909090909,487.0,,,61.02,62.785714285714285,73.16818181818182
AR,1999,51.0,14.0,3.0,314.0,158.0,25.666666666666668,2.28,107.0,612.0,,,35.0,70.53333333333333,82.46666666666665
AR,2000,,,142.0,126.0,0.0,20.703703703703702,,98.91304347826087,5242.0,,,,60.72608695652174,71.92608695652174
AR,2001,,,7.0,317.0,168.0,22.4,,99.42857142857143,1034.0,,,,62.19523809523809,72.94285714285714
AR,2002,,,11.0,303.0,103.0,21.869565217391305,,98.73684210526316,1051.0,,,,61.03684210526316,71.65789473684211
AR,2003,70.0,19.0,1.0,303.0,120.0,24.391304347826086,4.21,101.3157894736842,898.0,,,52.24,61.678947368421056,73.11052631578947
AR,2004,46.0,11.0,0.0,,,20.571428571428573,3.82,,,,,31.8,,
AR,2005,,,49.0,,,17.5,,,,,,,,
AR,2006,,,2.0,,,22.16,,,,,,,,
AR,2007,,,3.0,,,17.958333333333332,,,,,,,,
AR,2008,,,1.0,,,23.565217391304348,,,,,,,,
AR,2009,,,2.0,,,22.95,,,,,,,,
AR,2010,,,0.0,,,19.666666666666668,,,,,,,,
AR,2011,,,138.0,,,20.24137931034483,,,,,,,,
AR,2012,,,140.0,,,20.8,,,,,,,,
AR,2013,,,137.0,,,19.863636363636363,,,,,,,,
AR,2014,,,7.0,,,21.857142857142858,,,,,,,,
AR,2015,,,142.0,,,23.84375,,,,,,,,
AR,2016,,,139.0,,,23.5,,,,,,,,
AR,2017,,,122.0,,,21.90909090909091,,,,,,,,
AR,2018,,,10.0,,,21.51851851851852,,,,,,,,
AR,2019,,,1.0,,,22.620689655172413,,,,,,,,
AR,2020,,,117.0,,,22.25,,,,,,,,
AR,2021,,,132.0,,,21.307692307692307,,,,,,,,
AR,2022,,,170.0,,,22.075,,,,,,,,
AR,2023,,,0.0,,,24.40625,,,,,,,,
AS,1995,47.0,10.0,0.0,334.0,8.0,44.47826086956522,4.33,109.8695652173913,0.0,,,34.05,77.86666666666666,89.25652173913043
AS,2005,26.0,4.0,0.0,365.0,324.0,47.19230769230769,4.17,111.93548387096774,2.0,,,18.15,80.60384615384615,92.39333333333335
AS,2010,71.0,13.0,0.0,338.0,6.0,43.234042553191486,3.62,110.46938775510205,0.0,,,51.54,75.73777777777778,86.7265306122449
AS,2015,54.0,9.0,0.0,365.0,328.0,41.81395348837209,3.5,111.88372093023256,0.0,,,31.67,75.14500000000001,86.36046511627907
AS,2020,92.0,18.0,0.0,365.0,318.0,46.5,4.37,109.48275862068965,0.0,,,58.03,79.1576923076923,90.60000000000001
AU,1995,104.0,3.0,98.0,87.0,2.0,4.166666666666667,2.02,86.83333333333333,5568.0,,,41.77,45.699999999999996,52.98333333333333
AU,1996,99.0,11.0,123.0,84.0,0.0,-4.5,1.74,82.83333333333333,6716.0,,,46.26,43.61666666666667,50.56666666666666
AU,1997,102.0,4.0,93.0,101.0,0.0,6.666666666666667,2.52,82.33333333333333,6364.0,,,40.36,45.583333333333336,53.21666666666667
