Row Labels,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Grand Total
Afghanistan,,,,,,,,,1,1,1,9,10,1,3,2,1,1,,1,1,1,1,1,1,1,1,1,,39
Albania,17,17,2,2,4,3,4,7,15,12,20,19,23,24,25,25,27,26,22,16,84,41,47,46,49,41,55,54,,727
Algeria,1,,,,55,3,8,61,79,,3,9,7,29,25,17,24,38,56,75,85,113,90,94,58,85,109,87,,1211
American Samoa,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,2
Angola,255,280,458,539,236,258,357,398,499,579,782,970,1028,1160,798,868,948,1031,1003,1686,1015,850,1270,417,353,267,218,407,400,19330
Antigua and Barbuda,2,2,3,3,3,5,5,5,4,6,13,10,10,8,7,8,8,15,19,19,13,28,23,25,15,15,15,15,,304
Argentina,51,44,75,87,97,59,65,2,2,2,3,2,4,4,113,288,74,6,7,3,5,93,810,26,2,3,2,6,11,1946
Armenia,3,8,6,1,1,,1,1,,1,2,2,2,2,1,5,6,4,4,3,4,3,5,4,5,7,6,10,13,110
Aruba,12,12,9,8,14,25,18,17,18,19,22,21,22,26,22,22,30,32,30,32,34,32,34,33,36,21,30,31,,662
Australia,141,141,207,284,243,156,125,159,222,258,221,298,348,653,622,679,676,831,830,818,914,867,928,992,1002,1046,1051,1083,830,16625
Austria,237,248,518,314,565,506,582,617,404,646,706,674,765,633,626,748,920,776,784,781,736,824,867,699,484,718,750,700,700,18528
Azerbaijan,9,2,5,1,,1,,,1,1,2,2,6,3,2,1,3,3,3,2,1,4,7,3,4,4,5,5,,80
Bahamas,18,22,24,24,28,38,27,22,28,20,27,33,36,34,30,31,30,39,28,33,39,38,34,37,41,35,35,36,,867
Bahrain,6,5,10,4,6,4,12,14,12,14,23,18,22,20,27,25,27,7,25,13,15,12,29,13,13,19,12,23,18,448
Bangladesh,2,2,,,,,1,1,1,1,,1,2,2,1,1,1,1,1,3,1,1,,1,1,1,1,1,,28
Barbados,8,7,9,5,10,12,10,10,11,14,29,21,20,26,22,23,21,22,24,23,36,34,27,29,27,20,20,25,,545
Belarus,190,90,26,84,54,80,167,227,276,427,406,417,420,414,427,484,469,513,535,520,503,485,576,571,681,699,664,664,664,11733
Belgium,,,,,,,2446,2763,2670,2801,2897,2938,3106,3097,3061,2984,3158,3133,3166,3118,3110,3120,3142,3030,3078,3109,3529,3394,3029,69879
Belgium and Luxemburg,2299,2180,2283,2520,2419,2655,,,,,,,,,,,,,,,,,,,,,,,,14356
Belize,1,1,1,1,1,2,2,1,9,2,4,3,4,4,3,5,4,8,17,14,13,13,15,15,16,9,9,19,16,212
Benin,15,24,30,36,37,30,33,36,47,43,48,57,17,50,59,78,83,47,36,33,44,34,29,16,23,20,25,23,,1053
Bermuda,20,14,14,18,15,16,25,14,12,13,33,27,33,28,21,21,34,34,11,15,15,15,16,14,18,12,13,15,,536
Bhutan,,,,,,,,,,,,1,1,3,1,3,2,4,4,2,2,2,3,3,3,3,3,3,,43
Bolivia,3,3,4,3,5,8,6,3,6,6,4,5,5,9,8,7,9,9,10,10,10,10,14,10,7,7,5,8,,194
Bosnia and Herzegovina,34,18,20,6,18,49,72,72,37,88,84,97,105,100,99,90,74,81,69,72,82,80,87,85,88,73,84,85,,1949
Botswana,20,17,25,20,24,29,21,47,39,39,56,63,191,113,73,43,51,33,49,41,33,37,25,71,46,46,53,73,,1378
Brazil,279,234,253,241,284,312,299,266,293,392,409,509,609,579,559,707,727,742,679,812,818,921,1258,1102,1204,1520,1825,1541,1450,20824
Brunei Darussalam,,,,,1,,1,,,,,1,,,,,1,1,,,,,,,,,,,,5
Bulgaria,216,25,3,6,107,47,15,40,13,8,50,124,151,69,53,82,67,71,65,49,80,73,87,86,90,97,145,125,160,2204
Burkina Faso,6,8,10,10,15,20,14,20,14,36,48,61,50,46,34,41,41,56,29,24,29,32,36,79,115,86,146,92,,1198
Burundi,3,1,1,,1,1,1,1,1,3,2,2,2,3,2,2,2,4,4,2,2,2,1,1,4,4,5,3,,60
Cabo Verde,40,39,34,31,28,19,23,30,29,39,46,51,63,63,43,50,45,43,40,47,58,68,71,60,68,68,68,67,,1331
Cambodia,,7,3,3,5,4,4,4,5,4,16,9,13,17,13,8,9,11,15,22,17,12,5,6,13,11,7,8,,251
Cameroon,41,33,61,69,58,58,60,62,65,52,63,62,79,71,84,97,120,120,116,127,117,76,137,86,86,86,86,96,,2268
Canada,1477,1698,1784,2030,2195,2358,2388,2437,2697,2668,2809,3043,3118,3200,3284,3500,3584,3768,3727,3849,4134,4157,4187,4217,4169,4499,4189,4178,3751,93095
Cayman Islands,5,5,5,5,5,14,14,9,6,8,11,17,17,14,15,9,8,8,8,10,11,11,11,11,11,11,11,11,,281
Central African Republic,21,5,5,6,4,5,8,5,6,7,4,4,4,6,3,6,5,5,2,1,10,2,9,4,5,5,11,7,,165
Chad,1,1,2,2,2,2,2,2,2,4,4,4,5,7,12,26,22,20,21,6,4,7,2,2,2,4,2,2,,172
Chile,2,6,133,98,47,57,5,22,6,3,44,62,62,39,31,6,10,12,22,17,25,25,20,30,25,37,84,30,17,977
"China, Hong Kong SAR",57,106,341,208,103,101,108,109,112,134,151,183,234,303,348,400,482,505,503,525,634,629,608,513,412,379,390,349,312,9239
"China, Macao SAR",8,19,26,15,11,9,10,12,12,15,16,19,27,35,48,61,77,68,45,54,60,59,54,49,47,32,47,92,104,1131
"China, mainland",7,44,336,462,437,346,292,302,414,441,535,1155,1482,1649,1729,2861,3655,3943,3766,3838,5555,6389,7511,6876,6128,4305,4243,3368,2490,74559
"China, Taiwan Province of",36,53,246,156,92,67,69,72,91,122,166,170,217,164,110,160,179,168,167,171,204,216,217,215,202,190,228,238,,4386
Colombia,45,46,51,51,61,62,72,94,84,93,113,123,130,123,144,142,117,144,154,162,164,181,174,189,222,245,258,334,224,4002
Comoros,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,3,1,2,3,3,2,3,2,1,2,,45
Congo,42,36,44,41,26,31,42,35,30,48,44,32,40,37,52,49,36,55,44,32,32,32,18,18,17,16,32,20,,981
Congo (the Democratic Republic of the),8,7,3,11,4,6,3,3,10,15,20,29,36,31,28,35,32,26,37,34,22,24,22,15,16,13,15,87,,592
Cook Islands,,1,,,,1,1,,1,1,2,1,2,1,2,3,1,2,2,3,3,4,2,2,2,1,2,2,,42
Costa Rica,20,21,29,29,33,36,40,47,48,52,53,73,81,78,45,94,85,85,94,104,110,110,98,104,113,105,132,144,124,2187
Côte d'Ivoire,179,221,232,240,230,212,246,287,280,178,151,146,180,227,277,299,279,290,290,320,400,450,480,410,415,394,584,583,773,9253
Croatia,34,73,47,6,53,26,64,79,92,135,134,126,157,142,106,148,147,145,128,224,290,310,269,241,249,245,276,245,246,4437
Cuba,8,11,17,19,23,30,30,30,36,39,44,37,43,54,54,68,51,53,58,58,57,74,62,60,48,23,21,43,,1151
Cyprus,3,4,5,6,9,8,10,11,8,30,28,35,42,41,44,58,62,75,72,80,84,87,89,83,80,50,62,75,64,1305
Czech Republic,335,518,711,496,534,664,943,1034,1068,1226,1280,1381,1334,1442,1443,1900,1850,1572,1528,1552,1610,1403,1467,1322,1379,1741,1729,1703,1375,36540
Denmark,1298,1473,1683,1699,1677,1794,2029,2008,2051,2006,1852,1876,2013,2000,2078,1886,1875,1886,2015,1867,1821,1798,1711,1781,1813,1836,1982,1828,1765,53401
Djibouti,4,3,3,2,2,1,1,2,2,2,2,2,2,2,3,2,4,5,8,1,3,2,3,2,2,2,2,2,,71
Dominica,4,2,4,4,1,5,4,5,4,4,4,3,4,4,2,2,1,1,2,1,1,1,1,1,1,1,1,1,,69
Dominican Republic,29,36,41,52,72,97,72,45,80,61,50,67,89,79,74,86,97,97,120,116,134,131,170,163,159,126,198,163,,2704
Ecuador,81,81,35,32,16,18,33,35,43,53,48,54,69,113,50,60,45,60,50,70,60,60,80,95,104,86,133,146,,1810
El Salvador,10,10,9,11,11,14,14,12,11,15,15,17,22,18,20,21,21,20,20,20,20,20,20,20,28,24,32,38,32,545
Equatorial Guinea,28,11,11,11,11,11,11,124,129,137,106,120,107,133,117,123,117,127,55,72,67,67,75,63,78,80,57,,,2048
Estonia,49,43,65,73,68,73,68,81,88,107,128,134,158,173,172,200,221,226,238,233,229,252,244,226,225,201,222,235,230,4662
