Continent,Region/Country,Product,Variable,Year,Unit,Quantity,Country_Code,DP10_mean,DP10_std,DP1X_mean,DP1X_std,DT32_mean,DT32_std,DX70_mean,DX70_std,DX90_mean,DX90_std,EMNT_mean,EMNT_std,EMXP_mean,EMXP_std,EMXT_mean,EMXT_std,HTDD_mean,HTDD_std,MNPN_mean,MNPN_std,MXPN_mean,MXPN_std,PRCP_mean,PRCP_std,TAVG_mean,TAVG_std,TMAX_mean,TMAX_std
Europe,Albania,Wine,Consumption,1995-01-01,1000 hl,186,AL,97.0,,29.0,,,,160.0,,31.0,,,,13.67,,100.0,,,,,,,,90.82,,,,66.9,
Europe,Albania,Wine,Exports,1995-01-01,1000 hl,0,AL,97.0,,29.0,,,,160.0,,31.0,,,,13.67,,100.0,,,,,,,,90.82,,,,66.9,
Europe,Albania,Wine,Imports,1995-01-01,1000 hl,17,AL,97.0,,29.0,,,,160.0,,31.0,,,,13.67,,100.0,,,,,,,,90.82,,,,66.9,
Europe,Albania,Wine,Production,1995-01-01,1000 hl,169,AL,97.0,,29.0,,,,160.0,,31.0,,,,13.67,,100.0,,,,,,,,90.82,,,,66.9,
Europe,Albania,Wine,Consumption,1996-01-01,1000 hl,310,AL,101.0,,30.0,,,,173.0,,38.0,,,,3.84,,97.0,,,,,,,,92.59,,,,68.7,
Europe,Albania,Wine,Exports,1996-01-01,1000 hl,0,AL,101.0,,30.0,,,,173.0,,38.0,,,,3.84,,97.0,,,,,,,,92.59,,,,68.7,
Europe,Albania,Wine,Imports,1996-01-01,1000 hl,17,AL,101.0,,30.0,,,,173.0,,38.0,,,,3.84,,97.0,,,,,,,,92.59,,,,68.7,
Europe,Albania,Wine,Production,1996-01-01,1000 hl,293,AL,101.0,,30.0,,,,173.0,,38.0,,,,3.84,,97.0,,,,,,,,92.59,,,,68.7,
Europe,Albania,Wine,Consumption,1997-01-01,1000 hl,170,AL,70.0,,16.0,,,,161.0,,34.0,,,,7.68,,97.0,,,,,,,,57.74,,,,68.7,
Europe,Albania,Wine,Exports,1997-01-01,1000 hl,0,AL,70.0,,16.0,,,,161.0,,34.0,,,,7.68,,97.0,,,,,,,,57.74,,,,68.7,
Europe,Albania,Wine,Imports,1997-01-01,1000 hl,2,AL,70.0,,16.0,,,,161.0,,34.0,,,,7.68,,97.0,,,,,,,,57.74,,,,68.7,
Europe,Albania,Wine,Production,1997-01-01,1000 hl,168,AL,70.0,,16.0,,,,161.0,,34.0,,,,7.68,,97.0,,,,,,,,57.74,,,,68.7,
Europe,Albania,Wine,Consumption,1999-01-01,1000 hl,131,AL,91.0,,24.0,,,,188.0,,68.0,,,,4.32,,106.0,,,,,,,,72.34,,,,71.3,
Europe,Albania,Wine,Exports,1999-01-01,1000 hl,0,AL,91.0,,24.0,,,,188.0,,68.0,,,,4.32,,106.0,,,,,,,,72.34,,,,71.3,
Europe,Albania,Wine,Imports,1999-01-01,1000 hl,4,AL,91.0,,24.0,,,,188.0,,68.0,,,,4.32,,106.0,,,,,,,,72.34,,,,71.3,
Europe,Albania,Wine,Production,1999-01-01,1000 hl,127,AL,91.0,,24.0,,,,188.0,,68.0,,,,4.32,,106.0,,,,,,,,72.34,,,,71.3,
Europe,Albania,Wine,Consumption,2000-01-01,1000 hl,77,AL,70.0,,23.0,,,,185.0,,63.0,,,,6.65,,107.0,,,,,,,,69.22,,,,71.5,
Europe,Albania,Wine,Exports,2000-01-01,1000 hl,0,AL,70.0,,23.0,,,,185.0,,63.0,,,,6.65,,107.0,,,,,,,,69.22,,,,71.5,
Europe,Albania,Wine,Imports,2000-01-01,1000 hl,3,AL,70.0,,23.0,,,,185.0,,63.0,,,,6.65,,107.0,,,,,,,,69.22,,,,71.5,
Europe,Albania,Wine,Production,2000-01-01,1000 hl,74,AL,70.0,,23.0,,,,185.0,,63.0,,,,6.65,,107.0,,,,,,,,69.22,,,,71.5,
Europe,Albania,Wine,Consumption,2016-01-01,1000 hl,233,AL,,,,,,,188.0,,64.0,,,,,,101.0,,,,,,,,,,,,73.5,
Europe,Albania,Wine,Exports,2016-01-01,1000 hl,0,AL,,,,,,,188.0,,64.0,,,,,,101.0,,,,,,,,,,,,73.5,
Europe,Albania,Wine,Imports,2016-01-01,1000 hl,41,AL,,,,,,,188.0,,64.0,,,,,,101.0,,,,,,,,,,,,73.5,
Europe,Albania,Wine,Production,2016-01-01,1000 hl,178,AL,,,,,,,188.0,,64.0,,,,,,101.0,,,,,,,,,,,,73.5,
Africa,Algeria,Wine,Consumption,1995-01-01,1000 hl,243,AG,40.0,,4.0,,3.0,,227.0,16.97056274847714,38.5,16.263455967290593,31.0,,1.6,,105.0,0.0,1792.0,,,,,,21.72,,64.5,,75.6,0.1414213562373165
Africa,Algeria,Wine,Exports,1995-01-01,1000 hl,128,AG,40.0,,4.0,,3.0,,227.0,16.97056274847714,38.5,16.263455967290593,31.0,,1.6,,105.0,0.0,1792.0,,,,,,21.72,,64.5,,75.6,0.1414213562373165
