station,date,DP10,DP1X,DT32,DX70,DX90,EMNT,EMXP,EMXT,HTDD,MNPN,MXPN,PRCP,TAVG,TMAX,country,latitude,longitude,elevation,location,geometry
AG000060390,1995-01-01T00:00:00,40.0,4.0,3.0,239.0,27.0,31.0,1.6,105.0,1792.0,,,21.72,64.5,75.5,GH,36.7167,3.25,24.0,ALGER-DAR EL BEIDA             GSN     60390,POINT (361788.3450781391 4374144.074572196)
AG000060390,1996-01-01T00:00:00,59.0,6.0,2.0,228.0,21.0,29.0,2.56,113.0,1485.0,,,31.57,63.6,73.5,GH,36.7167,3.25,24.0,ALGER-DAR EL BEIDA             GSN     60390,POINT (361788.3450781391 4374144.074572196)
AG000060390,1997-01-01T00:00:00,44.0,5.0,0.0,231.0,20.0,33.0,2.08,101.0,1700.0,,,21.52,65.0,75.4,GH,36.7167,3.25,24.0,ALGER-DAR EL BEIDA             GSN     60390,POINT (361788.3450781391 4374144.074572196)
AG000060390,1998-01-01T00:00:00,47.0,6.0,4.0,220.0,30.0,30.0,1.92,104.0,1632.0,,,23.99,63.7,74.8,GH,36.7167,3.25,24.0,ALGER-DAR EL BEIDA             GSN     60390,POINT (361788.3450781391 4374144.074572196)
AG000060390,2004-01-01T00:00:00,51.0,8.0,,,,,1.85,,,,,25.31,,,GH,36.7167,3.25,24.0,ALGER-DAR EL BEIDA             GSN     60390,POINT (361788.3450781391 4374144.074572196)
AG000060390,2005-01-01T00:00:00,43.0,4.0,,,,,1.89,,,,,21.57,,,GH,36.7167,3.25,24.0,ALGER-DAR EL BEIDA             GSN     60390,POINT (361788.3450781391 4374144.074572196)
AG000060390,2006-01-01T00:00:00,42.0,4.0,,,,,2.4,,,,,22.25,,,GH,36.7167,3.25,24.0,ALGER-DAR EL BEIDA             GSN     60390,POINT (361788.3450781391 4374144.074572196)
AG000060390,2007-01-01T00:00:00,57.0,6.0,,,,,2.6,,,,,30.0,,,GH,36.7167,3.25,24.0,ALGER-DAR EL BEIDA             GSN     60390,POINT (361788.3450781391 4374144.074572196)
AG000060390,2008-01-01T00:00:00,46.0,1.0,,,,,1.06,,,,,19.62,,,GH,36.7167,3.25,24.0,ALGER-DAR EL BEIDA             GSN     60390,POINT (361788.3450781391 4374144.074572196)
AG000060390,2010-01-01T00:00:00,53.0,5.0,,,,,2.09,,,,,22.65,,,GH,36.7167,3.25,24.0,ALGER-DAR EL BEIDA             GSN     60390,POINT (361788.3450781391 4374144.074572196)
AG000060390,2011-01-01T00:00:00,54.0,4.0,,,,,1.89,,,,,26.9,,,GH,36.7167,3.25,24.0,ALGER-DAR EL BEIDA             GSN     60390,POINT (361788.3450781391 4374144.074572196)
AG000060390,2012-01-01T00:00:00,57.0,8.0,,,,,2.76,,,,,32.94,,,GH,36.7167,3.25,24.0,ALGER-DAR EL BEIDA             GSN     60390,POINT (361788.3450781391 4374144.074572196)
AG000060390,2013-01-01T00:00:00,68.0,6.0,,,,,4.57,,,,,34.83,,,GH,36.7167,3.25,24.0,ALGER-DAR EL BEIDA             GSN     60390,POINT (361788.3450781391 4374144.074572196)
AG000060390,2015-01-01T00:00:00,37.0,3.0,,,,,1.69,,,,,17.27,,,GH,36.7167,3.25,24.0,ALGER-DAR EL BEIDA             GSN     60390,POINT (361788.3450781391 4374144.074572196)
AGE00147708,2005-01-01T00:00:00,51.0,2.0,,212.0,73.0,,1.3,113.0,,,,21.57,,75.9,GH,36.72,4.05,222.0,TIZI OUZOU                             60395,POINT (450843.93771275796 4374600.383958588)
AGE00147708,2006-01-01T00:00:00,51.0,5.0,,,,,1.93,,,,,26.24,,,GH,36.72,4.05,222.0,TIZI OUZOU                             60395,POINT (450843.93771275796 4374600.383958588)
AGE00147708,2007-01-01T00:00:00,61.0,12.0,,204.0,74.0,,5.67,110.0,,,,45.21,,75.9,GH,36.72,4.05,222.0,TIZI OUZOU                             60395,POINT (450843.93771275796 4374600.383958588)
AGE00147708,2008-01-01T00:00:00,48.0,5.0,,201.0,77.0,,3.15,106.0,,,,25.66,,76.5,GH,36.72,4.05,222.0,TIZI OUZOU                             60395,POINT (450843.93771275796 4374600.383958588)
AGE00147708,2010-01-01T00:00:00,69.0,5.0,,209.0,76.0,,2.64,108.0,,,,30.64,,76.2,GH,36.72,4.05,222.0,TIZI OUZOU                             60395,POINT (450843.93771275796 4374600.383958588)
AGE00147708,2011-01-01T00:00:00,59.0,5.0,,225.0,81.0,,2.68,110.0,,,,33.56,,77.3,GH,36.72,4.05,222.0,TIZI OUZOU                             60395,POINT (450843.93771275796 4374600.383958588)
AGE00147708,2012-01-01T00:00:00,56.0,7.0,,220.0,106.0,,1.61,113.0,,,,28.66,,77.9,GH,36.72,4.05,222.0,TIZI OUZOU                             60395,POINT (450843.93771275796 4374600.383958588)
AGE00147708,2013-01-01T00:00:00,82.0,7.0,,210.0,73.0,,2.17,108.0,,,,41.48,,75.6,GH,36.72,4.05,222.0,TIZI OUZOU                             60395,POINT (450843.93771275796 4374600.383958588)
AGE00147708,2015-01-01T00:00:00,51.0,4.0,,233.0,88.0,,1.97,112.0,,,,27.39,,77.9,GH,36.72,4.05,222.0,TIZI OUZOU                             60395,POINT (450843.93771275796 4374600.383958588)
AGE00147708,2016-01-01T00:00:00,46.0,10.0,,,,,1.93,,,,,27.44,,,GH,36.72,4.05,222.0,TIZI OUZOU                             60395,POINT (450843.93771275796 4374600.383958588)
AGE00147708,2017-01-01T00:00:00,45.0,7.0,,,,,1.65,,,,,25.67,,,GH,36.72,4.05,222.0,TIZI OUZOU                             60395,POINT (450843.93771275796 4374600.383958588)
AGE00147708,2018-01-01T00:00:00,67.0,9.0,0.0,,,36.0,3.66,,,,,36.71,,,GH,36.72,4.05,222.0,TIZI OUZOU                             60395,POINT (450843.93771275796 4374600.383958588)
AGE00147708,2019-01-01T00:00:00,57.0,7.0,0.0,,,36.0,3.78,,,,,28.49,,,GH,36.72,4.05,222.0,TIZI OUZOU                             60395,POINT (450843.93771275796 4374600.383958588)
AGE00147708,2020-01-01T00:00:00,48.0,5.0,0.0,,,39.0,3.31,,,,,25.87,,,GH,36.72,4.05,222.0,TIZI OUZOU                             60395,POINT (450843.93771275796 4374600.383958588)
AGE00147708,2022-01-01T00:00:00,,,0.0,,,36.0,,,,,,,,,GH,36.72,4.05,222.0,TIZI OUZOU                             60395,POINT (450843.93771275796 4374600.383958588)
AGE00147708,2023-01-01T00:00:00,49.0,5.0,0.0,,,36.0,4.29,,,,,27.6,,,GH,36.72,4.05,222.0,TIZI OUZOU                             60395,POINT (450843.93771275796 4374600.383958588)
AGM00060425,2010-01-01T00:00:00,51.0,2.0,,,,,1.34,,,,,20.3,,,GH,36.213,1.332,141.1,ECH CHELIFF                            60425,POINT (148277.5617366404 4304724.584391792)
AGM00060425,2011-01-01T00:00:00,52.0,4.0,,,,,2.6,,,,,22.72,,,GH,36.213,1.332,141.1,ECH CHELIFF                            60425,POINT (148277.5617366404 4304724.584391792)
AGM00060425,2012-01-01T00:00:00,42.0,4.0,,,,,2.91,,,,,20.34,,,GH,36.213,1.332,141.1,ECH CHELIFF                            60425,POINT (148277.5617366404 4304724.584391792)
AGM00060425,2013-01-01T00:00:00,49.0,0.0,,,,,0.98,,,,,19.89,,,GH,36.213,1.332,141.1,ECH CHELIFF                            60425,POINT (148277.5617366404 4304724.584391792)
AGM00060425,2015-01-01T00:00:00,27.0,0.0,,,,,0.83,,,,,9.82,,,GH,36.213,1.332,141.1,ECH CHELIFF                            60425,POINT (148277.5617366404 4304724.584391792)
AGM00060425,2016-01-01T00:00:00,43.0,1.0,,,,,1.38,,,,,16.08,,,GH,36.213,1.332,141.1,ECH CHELIFF                            60425,POINT (148277.5617366404 4304724.584391792)
AGM00060425,2017-01-01T00:00:00,28.0,4.0,,,,,1.89,,,,,16.05,,,GH,36.213,1.332,141.1,ECH CHELIFF                            60425,POINT (148277.5617366404 4304724.584391792)
AGM00060425,2018-01-01T00:00:00,58.0,4.0,0.0,,,32.0,1.89,,,,,25.55,,,GH,36.213,1.332,141.1,ECH CHELIFF                            60425,POINT (148277.5617366404 4304724.584391792)
AGM00060425,2019-01-01T00:00:00,30.0,0.0,,,,,0.87,,,,,10.52,,,GH,36.213,1.332,141.1,ECH CHELIFF                            60425,POINT (148277.5617366404 4304724.584391792)
AGM00060425,2021-01-01T00:00:00,35.0,1.0,,,,,2.09,,,,,14.72,,,GH,36.213,1.332,141.1,ECH CHELIFF                            60425,POINT (148277.5617366404 4304724.584391792)
AGM00060425,2022-01-01T00:00:00,32.0,1.0,,,,,1.02,,,,,10.96,,,GH,36.213,1.332,141.1,ECH CHELIFF                            60425,POINT (148277.5617366404 4304724.584391792)
AGM00060425,2023-01-01T00:00:00,24.0,0.0,,,,,0.94,,,,,9.14,,,GH,36.213,1.332,141.1,ECH CHELIFF                            60425,POINT (148277.5617366404 4304724.584391792)
AGM00060430,2005-01-01T00:00:00,42.0,4.0,,208.0,69.0,,2.56,109.0,,,,23.27,,72.7,GH,36.3,2.233,721.0,MILIANA                                60430,POINT (248576.4229413799 4316682.433809087)
AGM00060430,2006-01-01T00:00:00,47.0,4.0,0.0,208.0,74.0,34.0,4.06,103.0,,,,25.81,65.4,74.0,GH,36.3,2.233,721.0,MILIANA                                60430,POINT (248576.4229413799 4316682.433809087)
AGM00060430,2007-01-01T00:00:00,56.0,8.0,1.0,166.0,60.0,31.0,4.69,105.0,1851.0,,,34.97,63.3,71.7,GH,36.3,2.233,721.0,MILIANA                                60430,POINT (248576.4229413799 4316682.433809087)
AGM00060430,2008-01-01T00:00:00,53.0,5.0,0.0,183.0,65.0,32.0,2.2,105.0,,,,26.59,63.4,72.0,GH,36.3,2.233,721.0,MILIANA                                60430,POINT (248576.4229413799 4316682.433809087)
AGM00060430,2010-01-01T00:00:00,66.0,9.0,,181.0,57.0,,1.61,105.0,1688.0,,,36.25,,71.9,GH,36.3,2.233,721.0,MILIANA                                60430,POINT (248576.4229413799 4316682.433809087)
AGM00060430,2011-01-01T00:00:00,62.0,10.0,,193.0,67.0,,2.24,106.0,,,,35.83,,73.1,GH,36.3,2.233,721.0,MILIANA                                60430,POINT (248576.4229413799 4316682.433809087)
AGM00060430,2012-01-01T00:00:00,58.0,7.0,,193.0,92.0,,1.93,108.0,,,,28.89,,73.8,GH,36.3,2.233,721.0,MILIANA                                60430,POINT (248576.4229413799 4316682.433809087)
AGM00060430,2013-01-01T00:00:00,71.0,5.0,,182.0,65.0,,2.01,108.0,,,,35.43,,71.6,GH,36.3,2.233,721.0,MILIANA                                60430,POINT (248576.4229413799 4316682.433809087)
AGM00060430,2015-01-01T00:00:00,41.0,6.0,1.0,225.0,78.0,31.0,2.13,108.0,,,,22.37,65.8,75.2,GH,36.3,2.233,721.0,MILIANA                                60430,POINT (248576.4229413799 4316682.433809087)
AGM00060430,2016-01-01T00:00:00,56.0,8.0,,,,,2.95,,,,,32.1,,,GH,36.3,2.233,721.0,MILIANA                                60430,POINT (248576.4229413799 4316682.433809087)
AGM00060430,2017-01-01T00:00:00,44.0,8.0,,,,,2.8,,,,,30.09,,,GH,36.3,2.233,721.0,MILIANA                                60430,POINT (248576.4229413799 4316682.433809087)
AGM00060430,2018-01-01T00:00:00,78.0,10.0,,,,,3.35,,,,,43.56,,,GH,36.3,2.233,721.0,MILIANA                                60430,POINT (248576.4229413799 4316682.433809087)
AGM00060430,2019-01-01T00:00:00,56.0,5.0,,,,,2.01,,,,,27.66,,,GH,36.3,2.233,721.0,MILIANA                                60430,POINT (248576.4229413799 4316682.433809087)
AGM00060430,2022-01-01T00:00:00,,,0.0,,,36.0,,,,,,,,,GH,36.3,2.233,721.0,MILIANA                                60430,POINT (248576.4229413799 4316682.433809087)
AGM00060430,2023-01-01T00:00:00,41.0,2.0,3.0,,,29.0,2.2,,,,,18.69,,,GH,36.3,2.233,721.0,MILIANA                                60430,POINT (248576.4229413799 4316682.433809087)
