Year,country,Gallons
1995,AF,0.0
1996,AF,0.0
1997,AF,0.0
1998,AF,0.0
1999,AF,0.0
2000,AF,0.0
2001,AF,0.0
2002,AF,0.0
2003,AF,0.0
2004,AF,0.0
2005,AF,0.0
2006,AF,0.0
2007,AF,0.0
2008,AF,0.0
2009,AF,0.0
2010,AF,0.0
2011,AF,0.0
2012,AF,0.0
2013,AF,0.0
2014,AF,0.0
2015,AF,0.0
2016,AF,0.0
2017,AF,0.0
2018,AF,0.0
2019,AF,0.0
2020,AF,0.0
2021,AF,0.0
2022,AF,0.0
1995,AL,4464506.8
1996,AL,7740239.600000001
1997,AL,4438089.600000001
1998,AL,2773806.0
1999,AL,3354984.4
2000,AL,1954872.8
2001,AL,3751242.4
2002,AL,1743535.2
2003,AL,2430382.4
2004,AL,3698408.0
2005,AL,4517341.2
2006,AL,4490924.0
2007,AL,4702261.600000001
2008,AL,4253169.2
2009,AL,4623010.0
2010,AL,4781513.2
2011,AL,4755096.0
2012,AL,5019268.0
2013,AL,4755096.0
2014,AL,4623010.0
2015,AL,4332420.8
2016,AL,4702261.600000001
2017,AL,4464506.8
2018,AL,4041831.6
2019,AL,4940016.4
2020,AL,5072102.4
2021,AL,7793074.0
2022,AL,6023121.600000001
1995,AG,15084221.200000001
1996,AG,10355542.4
1997,AG,9430940.4
1998,AG,9510192.0
1999,AG,11148058.4
2000,AG,11200892.8
2001,AG,11095224.0
2002,AG,18492040.0
2003,AG,21662104.0
2004,AG,22454620.0
2005,AG,23775480.0
2006,AG,27738060.0
2007,AG,13736944.0
2008,AG,13208600.0
2009,AG,15533313.6
2010,AG,12548170.0
2011,AG,12680256.0
2012,AG,12997262.4
2013,AG,13155765.6
2014,AG,3328567.2
2015,AG,2536051.2
2016,AG,1743535.2
2017,AG,5996704.4
2018,AG,5098519.600000001
2019,AG,5098519.600000001
2020,AG,5098519.600000001
2021,AG,5098519.600000001
2022,AG,5098519.600000001
1995,AQ,0.0
1996,AQ,0.0
1997,AQ,0.0
1998,AQ,0.0
1999,AQ,0.0
2000,AQ,0.0
2001,AQ,0.0
2002,AQ,0.0
2003,AQ,0.0
2004,AQ,0.0
2005,AQ,0.0
2006,AQ,0.0
2007,AQ,0.0
2008,AQ,0.0
2009,AQ,0.0
2010,AQ,0.0
2011,AQ,0.0
2012,AQ,0.0
2013,AQ,0.0
2014,AQ,0.0
2015,AQ,0.0
2016,AQ,0.0
2017,AQ,0.0
2018,AQ,0.0
2019,AQ,0.0
2020,AQ,0.0
2021,AQ,0.0
2022,AQ,0.0
1995,AN,0.0
1996,AN,0.0
1997,AN,0.0
1998,AN,0.0
1999,AN,0.0
2000,AN,0.0
2001,AN,0.0
2002,AN,0.0
2003,AN,0.0
2004,AN,0.0
2005,AN,0.0
2006,AN,0.0
2007,AN,0.0
2008,AN,0.0
2009,AN,0.0
2010,AN,0.0
2011,AN,0.0
2012,AN,0.0
2013,AN,0.0
2014,AN,0.0
2015,AN,0.0
2016,AN,0.0
2017,AN,0.0
2018,AN,0.0
2019,AN,0.0
2020,AN,0.0
2021,AN,0.0
2022,AN,0.0
1995,AO,0.0
1996,AO,0.0
1997,AO,0.0
1998,AO,0.0
1999,AO,0.0
2000,AO,0.0
2001,AO,0.0
