Continent,Region/Country,Product,Variable,Year,Unit,Quantity,Quantity (gallons),Code,Country
America,Antigua and Barbuda,Wine,Consumption,1995.0,1000 hl,1.0,26417.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Exports,1995.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Imports,1995.0,1000 hl,2.0,52834.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Production,1995.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Consumption,1996.0,1000 hl,2.0,52834.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Exports,1996.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Imports,1996.0,1000 hl,2.0,52834.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Production,1996.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Consumption,1997.0,1000 hl,2.0,52834.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Exports,1997.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Imports,1997.0,1000 hl,3.0,79252.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Production,1997.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Consumption,1998.0,1000 hl,3.0,79252.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Exports,1998.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Imports,1998.0,1000 hl,3.0,79252.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Production,1998.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Consumption,1999.0,1000 hl,3.0,79252.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Exports,1999.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Imports,1999.0,1000 hl,3.0,79252.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Production,1999.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Consumption,2000.0,1000 hl,4.0,105669.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Exports,2000.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Imports,2000.0,1000 hl,5.0,132086.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Production,2000.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Consumption,2001.0,1000 hl,5.0,132086.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Exports,2001.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Imports,2001.0,1000 hl,5.0,132086.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Production,2001.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Consumption,2002.0,1000 hl,5.0,132086.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Exports,2002.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Imports,2002.0,1000 hl,5.0,132086.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Production,2002.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Consumption,2003.0,1000 hl,4.0,105669.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Exports,2003.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Imports,2003.0,1000 hl,4.0,105669.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Production,2003.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Consumption,2004.0,1000 hl,3.0,79252.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Exports,2004.0,1000 hl,3.0,79252.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Imports,2004.0,1000 hl,6.0,158503.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Production,2004.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Consumption,2005.0,1000 hl,8.0,211338.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Exports,2005.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Imports,2005.0,1000 hl,13.0,343424.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Production,2005.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Consumption,2006.0,1000 hl,11.0,290589.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Exports,2006.0,1000 hl,1.0,26417.0,AC,Antigua and Barbuda
